Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,12:37:30 PM,891,10.811,37.02648544,30.2982769,30.11884689,30.9063015,34.09768295,29.38632584,33.07443619,29.69910812
4/24/2018,12:37:31 PM,162,11.082,37.083004,30.28632164,30.14278603,30.91819191,34.12083817,29.39837074,33.08611298,29.77116966
4/24/2018,12:37:31 PM,432,11.352,37.0603981,30.28632164,30.15475464,30.95385742,34.14398575,29.39837074,33.03939819,29.74715424
4/24/2018,12:37:31 PM,702,11.622,37.07170105,30.25045395,30.10687447,30.93008041,34.08610153,29.33813095,33.01603699,29.71112061
4/24/2018,12:37:31 PM,972,11.892,37.07170105,30.26241112,30.11884689,30.9063015,34.12083817,29.37427902,33.0510788,29.72313309
4/24/2018,12:37:32 PM,243,12.163,37.09430313,30.32217979,30.15475464,30.95385742,34.13241196,29.37427902,33.07443619,29.72313309
4/24/2018,12:37:32 PM,513,12.433,37.12819672,30.31022835,30.17868614,30.9776268,34.16713333,29.42245865,33.12113571,29.8311882
4/24/2018,12:37:33 PM,53,12.973,37.10560226,30.26241112,30.15475464,30.94196892,34.1902771,29.39837074,33.08611298,29.78317642
4/24/2018,12:37:33 PM,324,13.244,37.0603981,30.19065094,30.11884689,30.89440918,34.10926056,29.3622303,33.07443619,29.73514366
4/24/2018,12:37:33 PM,594,13.514,37.0603981,30.27436829,30.14278603,30.96574211,34.13241196,29.41041565,33.0627594,29.74715424
4/24/2018,12:37:33 PM,864,13.784,37.09430313,30.28632164,30.09490204,30.95385742,34.14398575,29.41041565,33.12113571,29.7591629
4/24/2018,12:37:34 PM,135,14.055,37.00387192,30.10687447,30.02303886,30.9063015,34.12083817,29.31402588,33.0510788,29.67507744
4/24/2018,12:37:34 PM,675,14.595,37.10560226,30.27436829,30.13081741,31.00139427,34.13241196,29.41041565,33.10946274,29.77116966
4/24/2018,12:37:34 PM,945,14.865,37.04909515,30.27436829,30.05897522,30.96574211,34.14398575,29.33813095,33.03939819,29.72313309
4/24/2018,12:37:35 PM,216,15.136,37.10560226,30.21457672,30.11884689,30.9776268,34.12083817,29.33813095,33.03939819,29.71112061
4/24/2018,12:37:35 PM,486,15.406,37.09430313,30.23849678,30.10687447,30.94196892,34.10926056,29.33813095,32.99266815,29.72313309
4/24/2018,12:37:35 PM,756,15.676,37.10560226,30.26241112,30.15475464,31.00139427,34.15555954,29.39837074,33.0627594,29.79518127
4/24/2018,12:37:36 PM,26,15.946,37.03779221,30.31022835,30.13081741,30.94196892,34.14398575,29.35018158,32.99266815,29.77116966
4/24/2018,12:37:36 PM,297,16.217,37.07170105,30.2982769,30.11884689,30.95385742,34.10926056,29.35018158,32.98098373,29.80718422
