Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,27,27,23,282,283,283
Location Y,,,,61,115,173,64,116,172
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/25/2018,9:27:15 AM,513,14.054,26.35966301,26.59438515,25.95083618,27.23432541,27.19750214,26.248312
4/25/2018,9:27:15 AM,783,14.324,26.42148018,26.56970024,26.0128746,27.23432541,27.19750214,26.248312
4/25/2018,9:27:16 AM,54,14.595,26.45855331,26.61906433,25.98806381,27.32019997,27.0132122,26.248312
4/25/2018,9:27:16 AM,324,14.865,26.63140297,26.65607452,26.09967041,27.36924171,26.55735588,26.248312
4/25/2018,9:27:16 AM,594,15.135,26.64373779,26.54500961,26.07487869,27.39375305,26.56970024,26.248312
4/25/2018,9:27:16 AM,864,15.405,26.74238205,26.05008125,26.14923859,27.39375305,26.56970024,26.248312
4/25/2018,9:27:17 AM,135,15.676,26.68074036,26.08727646,26.12445831,27.39375305,26.56970024,26.248312
4/25/2018,9:27:17 AM,675,16.216,26.69307137,26.2111702,26.11206627,27.16066933,26.56970024,26.248312
4/25/2018,9:27:17 AM,945,16.486,26.71772957,26.28544044,26.19878578,26.74238205,26.56970024,26.32255936
4/25/2018,9:27:18 AM,216,16.757,26.75470543,26.32255936,26.18640137,26.75470543,26.56970024,26.32255936
4/25/2018,9:27:18 AM,486,17.027,26.54500961,26.34729767,26.2359314,26.75470543,26.56970024,26.32255936
4/25/2018,9:27:18 AM,756,17.297,26.08727646,26.42148018,26.2359314,26.75470543,26.56970024,26.32255936
4/25/2018,9:27:19 AM,27,17.568,26.17401505,26.39675713,26.27306557,26.75470543,26.56970024,26.32255936
4/25/2018,9:27:19 AM,297,17.838,26.248312,26.50796509,26.13685036,26.75470543,26.56970024,26.32255936
4/25/2018,9:27:19 AM,567,18.108,26.38439369,26.4461956,25.67746544,26.75470543,26.56970024,26.32255936
4/25/2018,9:27:20 AM,108,18.649,26.35966301,26.45855331,25.72721863,26.75470543,26.56970024,26.32255936
4/25/2018,9:27:20 AM,378,18.919,26.42148018,26.56970024,25.72721863,26.75470543,26.56970024,26.32255936
4/25/2018,9:27:20 AM,648,19.189,26.52031517,26.61906433,25.72721863,26.75470543,26.68074036,26.4461956
4/25/2018,9:27:20 AM,918,19.459,26.50796509,26.61906433,25.72721863,26.75470543,26.68074036,26.4461956
4/25/2018,9:27:21 AM,189,19.73,26.56970024,26.59438515,25.72721863,26.75470543,26.68074036,26.4461956
4/25/2018,9:27:21 AM,729,20.27,26.52031517,26.61906433,25.72721863,26.75470543,26.68074036,26.4461956
4/25/2018,9:27:21 AM,999,20.54,26.54500961,26.49561501,25.72721863,26.75470543,26.68074036,26.4461956
4/25/2018,9:27:22 AM,270,20.811,26.66840744,26.0128746,25.72721863,26.87787628,26.68074036,26.4461956
4/25/2018,9:27:22 AM,540,21.081,26.66840744,26.03767967,25.72721863,26.87787628,26.68074036,26.48326111
4/25/2018,9:27:22 AM,810,21.351,26.68074036,26.03767967,25.72721863,26.87787628,26.68074036,26.48326111
4/25/2018,9:27:23 AM,81,21.622,26.64373779,26.03767967,25.72721863,26.87787628,26.68074036,26.48326111
4/25/2018,9:27:23 AM,621,22.162,26.66840744,26.03767967,25.72721863,26.87787628,26.79167175,26.40911865
4/25/2018,9:27:23 AM,891,22.432,26.35966301,26.03767967,25.72721863,26.87787628,26.79167175,26.40911865
4/25/2018,9:27:24 AM,162,22.703,26.05008125,26.03767967,25.78937912,26.87787628,26.79167175,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.03767967,25.78937912,26.87787628,26.79167175,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.03767967,25.78937912,26.87787628,26.79167175,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.03767967,25.78937912,26.96401787,26.79167175,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.03767967,25.78937912,26.96401787,26.76702881,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.03767967,25.78937912,26.96401787,26.76702881,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.03767967,25.78937912,26.96401787,26.76702881,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.03767967,25.78937912,26.96401787,26.74238205,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.07487869,25.78937912,26.96401787,26.74238205,26.40911865
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.07487869,25.86392593,27.00091553,26.74238205,26.43383789
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.07487869,25.86392593,27.00091553,26.74238205,26.43383789
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.07487869,25.86392593,27.00091553,26.74238205,26.49561501
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.07487869,25.86392593,26.92710876,26.74238205,26.49561501
4/25/2018,9:27:24 AM,432,22.973,26.03767967,26.07487869,25.86392593,26.92710876,26.74238205,26.56970024
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.07487869,25.86392593,26.92710876,26.74238205,26.56970024
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.07487869,25.90118217,26.92710876,26.74238205,26.56970024
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.07487869,25.90118217,26.92710876,26.74238205,26.60672569
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.17401505,25.90118217,26.92710876,26.74238205,26.60672569
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.17401505,25.83908272,26.92710876,26.80399132,26.60672569
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.17401505,25.83908272,26.92710876,26.80399132,26.60672569
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.17401505,25.83908272,26.92710876,26.81630898,26.64373779
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.17401505,25.83908272,26.92710876,26.81630898,26.64373779
4/25/2018,9:27:24 AM,702,23.243,26.14923859,26.17401505,25.83908272,26.92710876,26.86556625,26.64373779
4/25/2018,9:27:24 AM,972,23.513,26.248312,26.19878578,25.83908272,26.96401787,26.86556625,26.73005676
4/25/2018,9:27:24 AM,972,23.513,26.248312,26.19878578,25.83908272,26.96401787,26.86556625,26.73005676
4/25/2018,9:27:24 AM,972,23.513,26.248312,26.19878578,25.83908272,27.06238556,26.89018631,26.73005676
4/25/2018,9:27:24 AM,972,23.513,26.248312,26.13685036,25.83908272,27.06238556,26.89018631,26.73005676
4/25/2018,9:27:24 AM,972,23.513,26.248312,26.13685036,25.83908272,27.08696365,26.91480255,26.73005676
4/25/2018,9:27:24 AM,972,23.513,26.248312,26.13685036,25.83908272,27.08696365,26.91480255,26.77935028
4/25/2018,9:27:25 AM,513,24.054,26.27306557,26.13685036,25.91359711,27.08696365,26.93941307,26.77935028
4/25/2018,9:27:25 AM,513,24.054,26.27306557,26.13685036,25.91359711,27.08696365,26.93941307,26.77935028
4/25/2018,9:27:25 AM,513,24.054,26.27306557,26.13685036,25.92601204,27.08696365,26.93941307,26.89018631
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.13685036,25.92601204,27.13610649,27.03780174,26.91480255
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.13685036,25.95083618,27.13610649,27.03780174,26.91480255
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.13685036,25.95083618,27.13610649,27.03780174,26.91480255
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.13685036,25.95083618,27.13610649,27.03780174,26.17401505
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.13685036,26.0128746,27.13610649,27.03780174,26.17401505
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.2359314,26.0128746,27.23432541,27.09925079,26.17401505
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.2359314,26.03767967,27.23432541,27.09925079,26.17401505
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.248312,26.03767967,27.23432541,27.09925079,26.17401505
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.248312,26.05008125,27.23432541,27.18522644,26.17401505
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.28544044,26.05008125,27.23432541,27.24659729,26.17401505
4/25/2018,9:27:25 AM,783,24.324,26.248312,26.28544044,26.05008125,27.32019997,27.24659729,26.17401505
4/25/2018,9:27:26 AM,54,24.595,26.29781532,26.28544044,26.12445831,27.32019997,27.24659729,26.17401505
4/25/2018,9:27:26 AM,54,24.595,26.29781532,26.32255936,26.12445831,27.32019997,26.42148018,26.19878578
4/25/2018,9:27:26 AM,324,24.865,26.37203026,26.32255936,26.12445831,27.39375305,26.42148018,26.19878578
4/25/2018,9:27:26 AM,324,24.865,26.37203026,26.33492851,26.12445831,27.45501328,26.42148018,26.19878578
4/25/2018,9:27:26 AM,594,25.135,26.35966301,26.33492851,26.12445831,27.45501328,26.42148018,26.19878578
4/25/2018,9:27:26 AM,594,25.135,26.35966301,26.35966301,26.13685036,27.45501328,26.42148018,26.19878578
4/25/2018,9:27:26 AM,594,25.135,26.35966301,26.35966301,26.13685036,26.60672569,26.42148018,26.248312
4/25/2018,9:27:27 AM,135,25.676,26.38439369,26.35966301,26.13685036,26.60672569,26.42148018,26.248312
4/25/2018,9:27:27 AM,135,25.676,26.38439369,26.4461956,26.2111702,26.60672569,26.42148018,26.248312
4/25/2018,9:27:27 AM,405,25.946,26.45855331,26.4461956,26.2111702,26.60672569,26.42148018,26.248312
4/25/2018,9:27:27 AM,405,25.946,26.45855331,26.4461956,26.2111702,26.60672569,26.4461956,26.248312
4/25/2018,9:27:27 AM,675,26.216,26.47090721,26.4461956,26.2111702,26.60672569,26.4461956,26.28544044
4/25/2018,9:27:27 AM,675,26.216,26.47090721,26.4461956,25.6650238,26.60672569,26.4461956,26.28544044
4/25/2018,9:27:27 AM,675,26.216,26.47090721,26.50796509,25.6650238,26.60672569,26.4461956,26.28544044
4/25/2018,9:27:27 AM,945,26.486,26.55735588,26.50796509,25.6650238,26.60672569,26.4461956,26.28544044
4/25/2018,9:27:27 AM,945,26.486,26.55735588,26.50796509,25.6650238,26.64373779,26.4461956,26.28544044
4/25/2018,9:27:27 AM,945,26.486,26.55735588,26.55735588,25.6650238,26.64373779,26.4461956,26.28544044
4/25/2018,9:27:27 AM,945,26.486,26.55735588,26.59438515,25.6650238,26.64373779,26.4461956,26.31018639
4/25/2018,9:27:27 AM,945,26.486,26.55735588,26.59438515,25.6650238,26.64373779,26.4461956,26.31018639
4/25/2018,9:27:28 AM,216,26.757,26.64373779,26.59438515,25.6650238,26.64373779,26.50796509,26.38439369
4/25/2018,9:27:28 AM,216,26.757,26.64373779,25.86392593,25.6650238,26.65607452,26.55735588,26.38439369
4/25/2018,9:27:28 AM,216,26.757,26.64373779,25.86392593,25.67746544,26.65607452,26.55735588,26.38439369
4/25/2018,9:27:28 AM,486,27.027,26.64373779,25.86392593,25.67746544,26.65607452,26.55735588,26.35966301
4/25/2018,9:27:29 AM,27,27.568,26.68074036,25.86392593,25.67746544,26.65607452,26.55735588,26.4461956
4/25/2018,9:27:29 AM,27,27.568,26.68074036,25.86392593,25.67746544,26.66840744,26.55735588,26.53266335
4/25/2018,9:27:29 AM,27,27.568,26.68074036,25.86392593,25.67746544,26.70540047,26.55735588,26.05008125
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.86392593,25.70234489,26.70540047,26.56970024,26.06248093
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.86392593,25.70234489,26.70540047,26.56970024,26.06248093
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.86392593,25.70234489,26.70540047,26.60672569,26.11206627
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.90118217,25.70234489,26.70540047,26.60672569,26.18640137
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.90118217,25.75208664,26.70540047,26.60672569,26.248312
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.90118217,25.77694893,26.75470543,26.61906433,26.26068878
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.90118217,25.77694893,26.75470543,26.64373779,26.26068878
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.90118217,25.77694893,26.77935028,26.74238205,26.38439369
4/25/2018,9:27:30 AM,918,29.459,25.92601204,25.91359711,25.77694893,26.77935028,26.29781532,26.40911865
4/25/2018,9:27:31 AM,459,30,25.93842506,25.91359711,25.77694893,26.77935028,26.28544044,26.45855331
4/25/2018,9:27:31 AM,459,30,25.93842506,25.91359711,25.77694893,26.82862473,26.27306557,26.52031517
4/25/2018,9:27:31 AM,459,30,25.93842506,25.91359711,25.76451874,26.79167175,26.37203026,26.54500961
4/25/2018,9:27:31 AM,459,30,25.93842506,25.97565651,25.76451874,26.90249634,26.38439369,26.58204269
4/25/2018,9:27:31 AM,459,30,25.93842506,26.02527809,25.83908272,26.48326111,26.50796509,26.11206627
4/25/2018,9:27:31 AM,729,30.27,25.92601204,26.02527809,25.83908272,26.47090721,26.49561501,26.03767967
4/25/2018,9:27:31 AM,729,30.27,25.92601204,26.02527809,25.83908272,26.47090721,26.49561501,26.05008125
4/25/2018,9:27:31 AM,729,30.27,25.92601204,26.02527809,25.85150528,26.54500961,26.56970024,26.12445831
4/25/2018,9:27:31 AM,729,30.27,25.92601204,26.02527809,25.88876534,26.53266335,26.63140297,26.14923859
4/25/2018,9:27:31 AM,999,30.54,25.97565651,26.02527809,25.93842506,26.63140297,26.70540047,26.17401505
4/25/2018,9:27:32 AM,270,30.811,26.07487869,26.02527809,25.60279465,26.68074036,26.71772957,26.19878578
4/25/2018,9:27:32 AM,270,30.811,26.07487869,26.02527809,25.62769127,26.68074036,26.75470543,26.2359314
4/25/2018,9:27:32 AM,270,30.811,26.07487869,26.09967041,25.62769127,26.75470543,26.80399132,26.31018639
4/25/2018,9:27:32 AM,270,30.811,26.07487869,26.09967041,25.62769127,26.77935028,26.29781532,26.31018639
4/25/2018,9:27:32 AM,270,30.811,26.07487869,26.09967041,25.6650238,26.85325432,26.28544044,26.37203026
4/25/2018,9:27:32 AM,270,30.811,26.07487869,26.07487869,25.76451874,26.87787628,26.31018639,26.39675713
4/25/2018,9:27:32 AM,540,31.081,26.06248093,26.11206627,25.72721863,26.89018631,26.37203026,26.47090721
4/25/2018,9:27:32 AM,540,31.081,26.06248093,26.14923859,25.72721863,26.96401787,26.43383789,26.50796509
4/25/2018,9:27:33 AM,81,31.622,26.12445831,25.83908272,25.85150528,26.48326111,26.42148018,26.58204269
4/25/2018,9:27:33 AM,81,31.622,26.12445831,25.78937912,25.85150528,26.45855331,26.45855331,26.60672569
4/25/2018,9:27:33 AM,81,31.622,26.12445831,25.83908272,25.91359711,26.48326111,26.47090721,26.80399132
4/25/2018,9:27:33 AM,351,31.892,26.18640137,25.86392593,25.93842506,26.54500961,26.54500961,26.2359314
4/25/2018,9:27:33 AM,621,32.162,26.19878578,25.90118217,25.98806381,26.60672569,26.55735588,26.16162872
