Plot 2 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,32,284,285,165,29,114
Location Y,,,,117,60,115,118,58,118
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/20/2018,5:06:07 PM,621,12.703,24.9410553,25.14123535,24.89095497,25.73965263,24.7154274,24.06105423
4/20/2018,5:06:07 PM,891,12.973,25.02867889,25.16623306,24.9410553,25.72721863,24.76560593,24.09890938
4/20/2018,5:06:08 PM,432,13.514,25.01616478,25.17873001,24.96609688,25.81423378,24.74052048,24.14936447
4/20/2018,5:06:08 PM,702,13.784,25.0537014,25.24119186,24.95357704,25.8018074,24.80322647,24.12413979
4/20/2018,5:06:08 PM,972,14.054,24.96609688,25.24119186,24.92853355,25.73965263,24.7530632,24.11152649
4/20/2018,5:06:09 PM,243,14.325,24.97861671,25.16623306,24.90348244,25.73965263,24.72797394,24.09890938
4/20/2018,5:06:09 PM,513,14.595,24.95357704,25.19122505,24.97861671,25.73965263,24.74052048,24.08629227
4/20/2018,5:06:09 PM,783,14.865,25.00365067,25.21621132,24.95357704,25.8018074,24.76560593,24.12413979
4/20/2018,5:06:10 PM,53,15.135,25.02867889,25.22870255,25.01616478,25.81423378,24.7530632,24.11152649
4/20/2018,5:06:10 PM,324,15.406,24.99113464,25.26616669,25.04118919,25.81423378,24.7530632,24.11152649
4/20/2018,5:06:10 PM,864,15.946,24.99113464,25.30361938,25.04118919,25.82665825,24.79068756,24.13675308
4/20/2018,5:06:11 PM,135,16.217,24.99113464,25.2911377,24.97861671,25.78937912,24.82829857,24.13675308
4/20/2018,5:06:11 PM,405,16.487,25.04118919,25.30361938,25.02867889,25.81423378,24.81576347,24.13675308
4/20/2018,5:06:11 PM,675,16.757,25.02867889,25.32858086,25.0537014,25.81423378,24.82829857,24.13675308
4/20/2018,5:06:11 PM,945,17.027,25.00365067,25.2911377,24.99113464,25.82665825,24.82829857,24.12413979
