Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/19/2018,9:44:32 AM,9:44:32,27.66305351,25.21621132,25.10372925,24.90348244
4/19/2018,9:44:32 AM,9:44:32,27.66305351,25.19122505,25.0537014,24.90348244
4/19/2018,9:44:32 AM,9:44:32,27.6997261,25.21621132,25.09122467,24.916008
4/19/2018,9:44:32 AM,9:44:32,27.67527962,25.21621132,25.11623192,24.90348244
4/19/2018,9:44:32 AM,9:44:32,27.6997261,25.22870255,25.12873459,24.90348244
4/19/2018,9:44:32 AM,9:44:32,27.73638916,25.31610107,25.14123535,24.916008
4/19/2018,9:44:32 AM,9:44:32,27.78525352,25.30361938,25.21621132,24.97861671
4/19/2018,9:44:33 AM,9:44:33,27.77303886,25.2911377,25.24119186,24.99113464
4/19/2018,9:44:33 AM,9:44:33,27.73638916,25.34106064,25.19122505,25.00365067
4/19/2018,9:44:33 AM,9:44:33,27.72416878,25.35353661,25.17873001,25.00365067
4/19/2018,9:44:33 AM,9:44:33,27.72416878,25.30361938,25.20371819,24.97861671
4/19/2018,9:44:33 AM,9:44:33,27.71194839,25.2911377,25.20371819,24.97861671
4/19/2018,9:44:33 AM,9:44:33,27.77303886,25.26616669,25.16623306,24.96609688
4/19/2018,9:44:33 AM,9:44:33,27.68750381,25.26616669,25.15373421,24.916008
4/19/2018,9:44:33 AM,9:44:33,27.71194839,25.25368118,25.12873459,24.916008
4/19/2018,9:44:33 AM,9:44:33,27.74860764,25.30361938,25.16623306,24.92853355
4/19/2018,9:44:34 AM,9:44:34,27.77303886,25.25368118,25.19122505,24.96609688
4/19/2018,9:44:34 AM,9:44:34,27.7608242,25.24119186,25.14123535,24.9410553
4/19/2018,9:44:34 AM,9:44:34,27.73638916,25.15373421,25.09122467,24.87842751
4/19/2018,9:44:34 AM,9:44:34,27.73638916,25.19122505,25.11623192,24.90348244
4/19/2018,9:44:34 AM,9:44:34,27.73638916,25.20371819,25.11623192,24.89095497
4/19/2018,9:44:34 AM,9:44:34,27.78525352,25.24119186,25.14123535,24.916008
4/19/2018,9:44:34 AM,9:44:34,27.74860764,25.20371819,25.09122467,24.916008
4/19/2018,9:44:34 AM,9:44:34,27.72416878,25.17873001,25.07871819,24.89095497
4/19/2018,9:44:34 AM,9:44:34,27.71194839,25.25368118,25.0537014,24.92853355
4/19/2018,9:44:35 AM,9:44:35,27.71194839,25.24119186,25.0537014,24.95357704
4/19/2018,9:44:35 AM,9:44:35,27.71194839,25.24119186,25.0537014,24.95357704
4/19/2018,9:44:36 AM,9:44:36,28.05364037,25.64013672,25.47823524,25.15373421
4/19/2018,9:44:36 AM,9:44:36,28.0170784,25.62769127,25.47823524,25.17873001
4/19/2018,9:44:36 AM,9:44:36,28.06582451,25.6650238,25.51561737,25.21621132
4/19/2018,9:44:36 AM,9:44:36,28.07800865,25.65258026,25.54053307,25.20371819
4/19/2018,9:44:36 AM,9:44:36,28.06582451,25.67746544,25.54053307,25.19122505
4/19/2018,9:44:36 AM,9:44:36,28.05364037,25.6650238,25.50315857,25.20371819
4/19/2018,9:44:37 AM,9:44:37,28.06582451,25.73965263,25.52807617,25.20371819
4/19/2018,9:44:37 AM,9:44:37,28.06582451,25.70234489,25.54053307,25.20371819
4/19/2018,9:44:37 AM,9:44:37,28.12672806,25.6650238,25.57789421,25.22870255
4/19/2018,9:44:37 AM,9:44:37,28.11454964,25.65258026,25.59034538,25.20371819
4/19/2018,9:44:37 AM,9:44:37,28.09018898,25.65258026,25.55298805,25.17873001
4/19/2018,9:44:37 AM,9:44:37,28.09018898,25.65258026,25.50315857,25.15373421
4/19/2018,9:44:37 AM,9:44:37,28.05364037,25.65258026,25.47823524,25.14123535
4/19/2018,9:44:37 AM,9:44:37,28.02926636,25.65258026,25.47823524,25.11623192
4/19/2018,9:44:37 AM,9:44:37,28.05364037,25.64013672,25.49069786,25.11623192
4/19/2018,9:44:37 AM,9:44:37,28.04145432,25.62769127,25.49069786,25.12873459
4/19/2018,9:44:38 AM,9:44:38,28.06582451,25.61524391,25.47823524,25.14123535
4/19/2018,9:44:38 AM,9:44:38,28.10237122,25.6650238,25.46577072,25.15373421
4/19/2018,9:44:38 AM,9:44:38,28.11454964,25.67746544,25.54053307,25.20371819
4/19/2018,9:44:38 AM,9:44:38,28.15108109,25.67746544,25.60279465,25.21621132
4/19/2018,9:44:38 AM,9:44:38,28.12672806,25.72721863,25.56544113,25.21621132
4/19/2018,9:44:38 AM,9:44:38,28.15108109,25.75208664,25.62769127,25.22870255
4/19/2018,9:44:38 AM,9:44:38,28.15108109,25.76451874,25.60279465,25.25368118
4/19/2018,9:44:38 AM,9:44:38,28.15108109,25.76451874,25.60279465,25.22870255
