Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,11:56:57 AM,243,14.595,26.31018639,23.98530197,23.80834961,24.74052048,24.2250061
4/20/2018,11:56:57 AM,513,14.865,26.32255936,24.01055908,23.78304672,24.67777824,24.2250061
4/20/2018,11:56:57 AM,783,15.135,26.32255936,24.01055908,23.80834961,24.7154274,24.16197586
4/20/2018,11:56:58 AM,53,15.405,26.33492851,23.97267151,23.79569817,24.66522598,24.17458534
4/20/2018,11:56:58 AM,324,15.676,26.32255936,24.02318382,23.78304672,24.69033051,24.2250061
4/20/2018,11:56:58 AM,594,15.946,26.33492851,24.02318382,23.82099724,24.72797394,24.2250061
4/20/2018,11:56:58 AM,864,16.216,26.33492851,24.0484314,23.83364487,24.72797394,24.2502079
4/20/2018,11:56:59 AM,405,16.757,26.42148018,24.07367325,23.82099724,24.76560593,24.28800011
4/20/2018,11:56:59 AM,675,17.027,26.42148018,24.0484314,23.84629059,24.7154274,24.2502079
4/20/2018,11:56:59 AM,945,17.297,26.4461956,24.02318382,23.78304672,24.7154274,24.27540398
4/20/2018,11:57:00 AM,216,17.568,26.43383789,24.07367325,23.87157822,24.74052048,24.2502079
4/20/2018,11:57:00 AM,486,17.838,26.47090721,24.07367325,23.83364487,24.70287895,24.32578087
4/20/2018,11:57:00 AM,756,18.108,26.49561501,24.0484314,23.87157822,24.76560593,24.32578087
4/20/2018,11:57:01 AM,26,18.378,26.47090721,24.08629227,23.82099724,24.7530632,24.2250061
4/20/2018,11:57:01 AM,297,18.649,26.4461956,24.03580856,23.79569817,24.70287895,24.17458534
4/20/2018,11:57:01 AM,567,18.919,26.38439369,24.0484314,23.78304672,24.65267181,24.18719101
4/20/2018,11:57:02 AM,108,19.46,26.4461956,24.17458534,23.83364487,24.74052048,24.27540398
4/20/2018,11:57:02 AM,378,19.73,26.4461956,24.0484314,23.79569817,24.70287895,24.26280594
4/20/2018,11:57:02 AM,648,20,26.50796509,24.11152649,23.83364487,24.69033051,24.2250061
4/20/2018,11:57:02 AM,918,20.27,26.50796509,24.0484314,23.83364487,24.7154274,24.19979858
4/20/2018,11:57:03 AM,189,20.541,26.48326111,23.98530197,23.77039337,24.7154274,24.19979858
4/20/2018,11:57:03 AM,459,20.811,26.35966301,23.97267151,23.73242569,24.65267181,24.09890938
4/20/2018,11:57:03 AM,999,21.351,26.37203026,23.98530197,23.71976662,24.65267181,24.13675308
4/20/2018,11:57:04 AM,270,21.622,26.40911865,24.02318382,23.75774002,24.66522598,24.14936447
4/20/2018,11:57:04 AM,540,21.892,26.4461956,24.03580856,23.71976662,24.67777824,24.18719101
4/20/2018,11:57:04 AM,810,22.162,26.52031517,24.07367325,23.84629059,24.7154274,24.2502079
4/20/2018,11:57:05 AM,81,22.433,26.50796509,24.03580856,23.79569817,24.72797394,24.21240234
4/20/2018,11:57:05 AM,351,22.703,26.50796509,24.08629227,23.77039337,24.70287895,24.23760796
4/20/2018,11:57:05 AM,891,23.243,26.52031517,24.02318382,23.77039337,24.7154274,24.18719101
4/20/2018,11:57:06 AM,162,23.514,26.47090721,24.06105423,23.75774002,24.66522598,24.09890938
4/20/2018,11:57:06 AM,432,23.784,26.50796509,24.06105423,23.78304672,24.66522598,24.12413979
4/20/2018,11:57:06 AM,702,24.054,26.49561501,24.07367325,23.77039337,24.67777824,24.16197586
4/20/2018,11:57:06 AM,972,24.324,26.4461956,23.99793053,23.70710564,24.5773201,24.13675308
4/20/2018,11:57:07 AM,243,24.595,26.34729767,23.94740677,23.66911697,24.56475639,24.09890938
4/20/2018,11:57:07 AM,513,24.865,26.40911865,23.93477249,23.61844444,24.6024437,24.07367325
4/20/2018,11:57:08 AM,53,25.405,26.4461956,23.96004105,23.69444466,24.6024437,24.06105423
4/20/2018,11:57:08 AM,324,25.676,26.39675713,23.94740677,23.68178177,24.56475639,24.06105423
4/20/2018,11:57:08 AM,594,25.946,26.45855331,24.02318382,23.75774002,24.64011765,24.11152649
4/20/2018,11:57:08 AM,864,26.216,26.33492851,23.83364487,23.61844444,24.52705765,24.01055908
4/20/2018,11:57:09 AM,135,26.487,26.38439369,23.85893631,23.63111496,24.50191689,24.03580856
4/20/2018,11:57:09 AM,675,27.027,26.40911865,23.88422012,23.65645027,24.53962517,24.01055908
4/20/2018,11:57:09 AM,945,27.297,26.40911865,23.98530197,23.69444466,24.55219078,24.08629227
4/20/2018,11:57:10 AM,216,27.568,26.48326111,23.97267151,23.73242569,24.64011765,24.17458534
4/20/2018,11:57:10 AM,486,27.838,26.52031517,24.01055908,23.77039337,24.66522598,24.16197586
4/20/2018,11:57:10 AM,756,28.108,26.48326111,23.98530197,23.77039337,24.65267181,24.09890938
4/20/2018,11:57:11 AM,26,28.378,26.53266335,23.97267151,23.77039337,24.64011765,24.13675308
4/20/2018,11:57:11 AM,297,28.649,26.61906433,24.09890938,23.88422012,24.7530632,24.2250061
4/20/2018,11:57:11 AM,837,29.189,26.58204269,24.03580856,23.85893631,24.7530632,24.19979858
4/20/2018,11:57:12 AM,108,29.46,26.60672569,24.07367325,23.83364487,24.79068756,24.23760796
4/20/2018,11:57:12 AM,378,29.73,26.64373779,24.11152649,23.87157822,24.80322647,24.23760796
4/20/2018,11:57:12 AM,648,30,26.73005676,24.19979858,23.92213631,24.85336494,24.33837128
