Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,11:03:53 AM,189,17.027,23.74508286,24.2502079,23.98530197,24.99113464,23.83364487
4/20/2018,11:03:53 AM,459,17.297,23.73242569,24.2502079,24.02318382,25.04118919,23.82099724
4/20/2018,11:03:53 AM,729,17.567,23.75774002,24.28800011,24.01055908,25.01616478,23.92213631
4/20/2018,11:03:54 AM,270,18.108,23.74508286,24.2250061,23.99793053,24.99113464,23.80834961
4/20/2018,11:03:54 AM,540,18.378,23.78304672,24.2250061,24.0484314,25.01616478,23.83364487
4/20/2018,11:03:54 AM,810,18.648,23.80834961,24.2502079,24.0484314,25.04118919,23.83364487
4/20/2018,11:03:55 AM,81,18.919,23.75774002,24.2502079,23.96004105,25.04118919,23.78304672
4/20/2018,11:03:55 AM,351,19.189,23.75774002,24.2502079,23.93477249,25.02867889,23.80834961
4/20/2018,11:03:55 AM,621,19.459,23.79569817,24.31318855,23.98530197,25.00365067,23.88422012
4/20/2018,11:03:55 AM,891,19.729,23.75774002,24.23760796,24.01055908,25.07871819,23.84629059
4/20/2018,11:03:56 AM,432,20.27,23.79569817,24.28800011,24.03580856,25.04118919,23.85893631
4/20/2018,11:03:56 AM,702,20.54,23.73242569,24.19979858,23.94740677,24.97861671,23.83364487
4/20/2018,11:03:56 AM,972,20.81,23.70710564,24.18719101,23.96004105,25.01616478,23.79569817
4/20/2018,11:03:57 AM,243,21.081,23.64378357,24.16197586,23.89686012,24.916008,23.74508286
4/20/2018,11:03:57 AM,513,21.351,23.64378357,24.13675308,23.88422012,24.9410553,23.75774002
4/20/2018,11:03:57 AM,783,21.621,23.68178177,24.16197586,23.93477249,24.9410553,23.80834961
4/20/2018,11:03:58 AM,324,22.162,23.59309959,24.16197586,23.90950012,24.90348244,23.70710564
4/20/2018,11:03:58 AM,594,22.432,23.69444466,24.19979858,23.94740677,24.9410553,23.78304672
4/20/2018,11:03:58 AM,864,22.702,23.66911697,24.14936447,23.93477249,24.95357704,23.73242569
4/20/2018,11:03:59 AM,135,22.973,23.60577202,24.08629227,23.83364487,24.86589622,23.66911697
4/20/2018,11:03:59 AM,405,23.243,23.59309959,24.0484314,23.84629059,24.86589622,23.65645027
4/20/2018,11:03:59 AM,675,23.513,23.61844444,24.08629227,23.89686012,24.87842751,23.69444466
4/20/2018,11:04:00 AM,216,24.054,23.52971077,24.07367325,23.85893631,24.80322647,23.61844444
4/20/2018,11:04:00 AM,486,24.324,23.59309959,24.07367325,23.87157822,24.86589622,23.69444466
4/20/2018,11:04:00 AM,756,24.594,23.64378357,24.17458534,23.89686012,24.92853355,23.73242569
4/20/2018,11:04:01 AM,27,24.865,23.61844444,24.14936447,23.89686012,24.86589622,23.69444466
4/20/2018,11:04:01 AM,297,25.135,23.60577202,24.08629227,23.83364487,24.84083176,23.66911697
4/20/2018,11:04:01 AM,567,25.405,23.60577202,24.18719101,23.89686012,24.87842751,23.69444466
4/20/2018,11:04:01 AM,837,25.675,23.55507088,24.13675308,23.88422012,24.86589622,23.71976662
4/20/2018,11:04:02 AM,378,26.216,23.55507088,24.14936447,23.93477249,24.86589622,23.69444466
4/20/2018,11:04:02 AM,648,26.486,23.54239082,24.09890938,23.83364487,24.84083176,23.65645027
4/20/2018,11:04:02 AM,918,26.756,23.61844444,24.14936447,23.87157822,24.87842751,23.75774002
