Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,1:18:57 PM,513,14.324,24.52705765,25.02867889,24.72797394,24.21240234,25.01616478
4/20/2018,1:18:57 PM,783,14.594,24.50191689,24.96609688,24.7154274,24.19979858,24.916008
4/20/2018,1:18:58 PM,324,15.135,24.51448822,24.97861671,24.67777824,24.19979858,24.916008
4/20/2018,1:18:58 PM,594,15.405,24.40130234,25.02867889,24.64011765,24.18719101,24.92853355
4/20/2018,1:18:58 PM,864,15.675,24.51448822,25.02867889,24.70287895,24.23760796,24.97861671
4/20/2018,1:18:59 PM,135,15.946,24.6024437,25.07871819,24.85336494,24.30059433,25.02867889
4/20/2018,1:18:59 PM,405,16.216,24.52705765,25.0537014,24.7530632,24.2502079,25.02867889
4/20/2018,1:18:59 PM,945,16.756,24.56475639,25.07871819,24.77814674,24.30059433,25.00365067
4/20/2018,1:19:00 PM,216,17.027,24.5773201,25.09122467,24.77814674,24.28800011,25.04118919
4/20/2018,1:19:00 PM,486,17.297,24.53962517,25.09122467,24.7530632,24.28800011,25.00365067
4/20/2018,1:19:00 PM,756,17.567,24.55219078,25.01616478,24.7154274,24.23760796,25.00365067
4/20/2018,1:19:01 PM,26,17.837,24.5773201,25.12873459,24.82829857,24.31318855,25.02867889
4/20/2018,1:19:01 PM,297,18.108,24.5773201,25.10372925,24.79068756,24.32578087,25.01616478
4/20/2018,1:19:01 PM,567,18.378,24.5898819,25.12873459,24.82829857,24.33837128,25.06620979
4/20/2018,1:19:01 PM,837,18.648,24.6024437,25.17873001,24.84083176,24.35095978,25.10372925
4/20/2018,1:19:02 PM,107,18.918,24.72797394,25.32858086,24.97861671,24.42646408,25.21621132
4/20/2018,1:19:02 PM,648,19.459,24.62756157,25.16623306,24.90348244,24.38871765,25.02867889
4/20/2018,1:19:02 PM,918,19.729,24.64011765,25.16623306,24.90348244,24.36354637,25.07871819
4/20/2018,1:19:03 PM,189,20,24.62756157,25.17873001,24.87842751,24.35095978,25.07871819
4/20/2018,1:19:03 PM,459,20.27,24.64011765,25.19122505,24.916008,24.38871765,25.0537014
4/20/2018,1:19:03 PM,999,20.81,24.70287895,25.27865219,24.95357704,24.46419716,25.16623306
4/20/2018,1:19:04 PM,270,21.081,24.69033051,25.26616669,24.92853355,24.43904305,25.16623306
4/20/2018,1:19:04 PM,540,21.351,24.72797394,25.2911377,24.99113464,24.43904305,25.19122505
4/20/2018,1:19:04 PM,810,21.621,24.62756157,25.17873001,24.87842751,24.37613297,25.07871819
4/20/2018,1:19:05 PM,80,21.891,24.6024437,25.14123535,24.85336494,24.37613297,25.01616478
4/20/2018,1:19:05 PM,351,22.162,24.6024437,25.11623192,24.82829857,24.33837128,25.00365067
4/20/2018,1:19:05 PM,621,22.432,24.5773201,25.20371819,24.89095497,24.35095978,25.01616478
4/20/2018,1:19:05 PM,891,22.702,24.5773201,25.20371819,24.85336494,24.30059433,25.01616478
4/20/2018,1:19:06 PM,162,22.973,24.61500359,25.24119186,24.85336494,24.32578087,25.10372925
4/20/2018,1:19:06 PM,702,23.513,24.6024437,25.20371819,24.81576347,24.32578087,25.06620979
4/20/2018,1:19:06 PM,972,23.783,24.69033051,25.24119186,24.95357704,24.33837128,25.16623306
4/20/2018,1:19:07 PM,243,24.054,24.6024437,25.11623192,24.84083176,24.35095978,24.99113464
4/20/2018,1:19:07 PM,513,24.324,24.53962517,25.12873459,24.77814674,24.31318855,24.96609688
4/20/2018,1:19:07 PM,783,24.594,24.50191689,25.15373421,24.77814674,24.28800011,24.99113464
4/20/2018,1:19:08 PM,53,24.864,24.56475639,25.16623306,24.81576347,24.26280594,25.00365067
4/20/2018,1:19:08 PM,324,25.135,24.52705765,25.12873459,24.76560593,24.31318855,24.97861671
4/20/2018,1:19:08 PM,594,25.405,24.55219078,25.16623306,24.81576347,24.30059433,24.96609688
4/20/2018,1:19:09 PM,135,25.946,24.5898819,25.17873001,24.85336494,24.33837128,25.02867889
4/20/2018,1:19:09 PM,405,26.216,24.5898819,25.20371819,24.87842751,24.33837128,25.01616478
4/20/2018,1:19:09 PM,675,26.486,24.56475639,25.14123535,24.82829857,24.28800011,24.9410553
4/20/2018,1:19:09 PM,945,26.756,24.48934555,25.15373421,24.82829857,24.26280594,24.95357704
4/20/2018,1:19:10 PM,216,27.027,24.6024437,25.20371819,24.89095497,24.30059433,24.97861671
4/20/2018,1:19:10 PM,486,27.297,24.51448822,25.16623306,24.81576347,24.28800011,25.01616478
4/20/2018,1:19:10 PM,756,27.567,24.5898819,25.24119186,24.85336494,24.30059433,25.02867889
4/20/2018,1:19:11 PM,297,28.108,24.5898819,25.22870255,24.85336494,24.31318855,25.02867889
4/20/2018,1:19:11 PM,567,28.378,24.56475639,25.21621132,24.87842751,24.32578087,25.04118919
4/20/2018,1:19:11 PM,837,28.648,24.61500359,25.31610107,24.90348244,24.32578087,24.99113464
4/20/2018,1:19:12 PM,107,28.918,24.55219078,25.26616669,24.85336494,24.30059433,24.99113464
4/20/2018,1:19:12 PM,378,29.189,24.5898819,25.26616669,24.97861671,24.30059433,25.04118919
4/20/2018,1:19:12 PM,648,29.459,24.5773201,25.27865219,24.89095497,24.33837128,25.0537014
4/20/2018,1:19:12 PM,918,29.729,24.50191689,25.21621132,24.79068756,24.28800011,24.96609688
4/20/2018,1:19:13 PM,189,30,24.5773201,25.20371819,24.85336494,24.30059433,24.99113464
4/20/2018,1:19:13 PM,729,30.54,24.51448822,25.15373421,24.76560593,24.2250061,24.89095497
4/20/2018,1:19:13 PM,999,30.81,24.5773201,25.22870255,24.87842751,24.30059433,25.01616478
4/20/2018,1:19:14 PM,270,31.081,24.64011765,25.37848854,24.96609688,24.32578087,25.09122467
4/20/2018,1:19:14 PM,540,31.351,24.64011765,25.34106064,24.95357704,24.40130234,25.09122467
4/20/2018,1:19:14 PM,810,31.621,24.6024437,25.34106064,24.89095497,24.38871765,25.06620979
4/20/2018,1:19:15 PM,80,31.891,24.56475639,25.35353661,24.85336494,24.33837128,25.04118919
4/20/2018,1:19:15 PM,351,32.162,24.56475639,25.2911377,24.84083176,24.31318855,24.99113464
4/20/2018,1:19:15 PM,621,32.432,24.5898819,25.2911377,24.90348244,24.32578087,25.01616478
4/20/2018,1:19:16 PM,162,32.973,24.65267181,25.39096069,24.96609688,24.38871765,25.06620979
4/20/2018,1:19:16 PM,432,33.243,24.65267181,25.41590309,24.99113464,24.38871765,25.12873459
4/20/2018,1:19:16 PM,702,33.513,24.61500359,25.41590309,24.96609688,24.33837128,25.0537014
4/20/2018,1:19:16 PM,972,33.783,24.62756157,25.4533062,25.02867889,24.35095978,25.14123535
4/20/2018,1:19:17 PM,243,34.054,24.62756157,25.39096069,24.95357704,24.33837128,25.12873459
4/20/2018,1:19:17 PM,513,34.324,24.62756157,25.40343285,24.90348244,24.35095978,25.07871819
4/20/2018,1:19:17 PM,783,34.594,24.64011765,25.39096069,24.97861671,24.35095978,25.0537014
4/20/2018,1:19:18 PM,53,34.864,24.6024437,25.46577072,25.00365067,24.35095978,25.07871819
4/20/2018,1:19:18 PM,594,35.405,24.5898819,25.4533062,24.97861671,24.35095978,25.0537014
4/20/2018,1:19:18 PM,864,35.675,24.6024437,25.46577072,25.00365067,24.40130234,25.09122467
4/20/2018,1:19:19 PM,135,35.946,24.67777824,25.46577072,25.0537014,24.38871765,25.16623306
4/20/2018,1:19:19 PM,405,36.216,24.62756157,25.46577072,24.97861671,24.36354637,25.09122467
4/20/2018,1:19:19 PM,675,36.486,24.56475639,25.40343285,24.97861671,24.36354637,25.0537014
