Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,283,283,166,30,121
Location Y,,,,119,63,118,116,64,118
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/23/2018,11:35:51 AM,933,4.667,28.12672806,25.4533062,25.21621132,25.61524391,27.16066933,24.7154274
4/23/2018,11:35:52 AM,66,4.8,28.13890457,25.44083977,25.24119186,25.65258026,27.17294884,24.7154274
4/23/2018,11:35:52 AM,200,4.934,28.16325569,25.46577072,25.24119186,25.6650238,27.18522644,24.7154274
4/23/2018,11:35:52 AM,266,5,28.16325569,25.47823524,25.26616669,25.62769127,27.18522644,24.7154274
4/23/2018,11:35:52 AM,466,5.2,28.16325569,25.52807617,25.34106064,25.6650238,27.18522644,24.76560593
4/23/2018,11:35:52 AM,533,5.267,28.15108109,25.52807617,25.32858086,25.6650238,27.20977783,24.79068756
4/23/2018,11:35:52 AM,666,5.4,28.10237122,25.52807617,25.34106064,25.62769127,27.18522644,24.77814674
4/23/2018,11:35:52 AM,800,5.534,28.15108109,25.57789421,25.35353661,25.64013672,27.16066933,24.77814674
4/23/2018,11:35:52 AM,866,5.6,28.13890457,25.59034538,25.40343285,25.68990517,27.23432541,24.79068756
4/23/2018,11:35:53 AM,0,5.734,28.15108109,25.59034538,25.41590309,25.68990517,27.25886726,24.82829857
4/23/2018,11:35:53 AM,66,5.8,28.11454964,25.56544113,25.34106064,25.67746544,27.18522644,24.77814674
4/23/2018,11:35:53 AM,200,5.934,28.06582451,25.52807617,25.2911377,25.65258026,27.16066933,24.74052048
4/23/2018,11:35:53 AM,333,6.067,28.02926636,25.52807617,25.24119186,25.60279465,27.09925079,24.7154274
4/23/2018,11:35:53 AM,466,6.2,27.99269867,25.47823524,25.24119186,25.60279465,27.09925079,24.69033051
4/23/2018,11:35:53 AM,533,6.267,27.99269867,25.50315857,25.26616669,25.62769127,27.13610649,24.72797394
4/23/2018,11:35:53 AM,666,6.4,28.06582451,25.54053307,25.34106064,25.65258026,27.16066933,24.76560593
4/23/2018,11:35:53 AM,733,6.467,28.05364037,25.54053307,25.30361938,25.65258026,27.14838791,24.79068756
4/23/2018,11:35:53 AM,866,6.6,28.0170784,25.56544113,25.2911377,25.68990517,27.11153793,24.7530632
4/23/2018,11:35:54 AM,0,6.734,28.07800865,25.56544113,25.34106064,25.71478271,27.16066933,24.79068756
4/23/2018,11:35:54 AM,133,6.867,28.04145432,25.52807617,25.32858086,25.67746544,27.09925079,24.79068756
4/23/2018,11:35:54 AM,266,7,27.95611763,25.4533062,25.24119186,25.60279465,27.06238556,24.70287895
4/23/2018,11:35:54 AM,333,7.067,27.98050499,25.46577072,25.2911377,25.61524391,27.08696365,24.74052048
4/23/2018,11:35:54 AM,466,7.2,27.96831131,25.50315857,25.31610107,25.68990517,27.12382317,24.7530632
4/23/2018,11:35:54 AM,533,7.267,27.98050499,25.52807617,25.35353661,25.70234489,27.07467461,24.79068756
4/23/2018,11:35:54 AM,666,7.4,27.99269867,25.55298805,25.34106064,25.70234489,27.07467461,24.80322647
4/23/2018,11:35:54 AM,733,7.467,28.0170784,25.55298805,25.35353661,25.68990517,27.11153793,24.84083176
4/23/2018,11:35:54 AM,866,7.6,27.96831131,25.52807617,25.34106064,25.6650238,27.11153793,24.80322647
4/23/2018,11:35:54 AM,933,7.667,27.94392014,25.57789421,25.32858086,25.67746544,27.12382317,24.77814674
4/23/2018,11:35:55 AM,66,7.8,27.99269867,25.59034538,25.32858086,25.65258026,27.16066933,24.79068756
4/23/2018,11:35:55 AM,133,7.867,28.00488853,25.57789421,25.36601257,25.68990517,27.13610649,24.82829857
4/23/2018,11:35:55 AM,266,8,27.94392014,25.56544113,25.36601257,25.68990517,27.09925079,24.80322647
4/23/2018,11:35:55 AM,333,8.067,27.96831131,25.60279465,25.37848854,25.68990517,27.12382317,24.82829857
4/23/2018,11:35:55 AM,466,8.2,27.95611763,25.55298805,25.34106064,25.6650238,27.0500946,24.82829857
4/23/2018,11:35:55 AM,599,8.333,27.99269867,25.56544113,25.40343285,25.70234489,27.06238556,24.86589622
4/23/2018,11:35:55 AM,666,8.4,27.89512253,25.50315857,25.31610107,25.62769127,27.0132122,24.7530632
4/23/2018,11:35:55 AM,800,8.534,27.80967903,25.4533062,25.20371819,25.54053307,26.92710876,24.66522598
4/23/2018,11:35:55 AM,933,8.667,27.73638916,25.36601257,25.16623306,25.46577072,26.85325432,24.5898819
4/23/2018,11:35:56 AM,0,8.734,27.71194839,25.34106064,25.15373421,25.44083977,26.85325432,24.56475639
4/23/2018,11:35:56 AM,133,8.867,27.62636757,25.31610107,25.07871819,25.4533062,26.75470543,24.53962517
4/23/2018,11:35:56 AM,266,9,27.60190392,25.2911377,25.06620979,25.40343285,26.77935028,24.55219078
4/23/2018,11:35:56 AM,333,9.067,27.66305351,25.30361938,25.07871819,25.44083977,26.79167175,24.6024437
4/23/2018,11:35:56 AM,466,9.2,27.6508255,25.34106064,25.07871819,25.46577072,26.79167175,24.56475639
4/23/2018,11:35:56 AM,599,9.333,27.67527962,25.34106064,25.07871819,25.47823524,26.79167175,24.56475639
4/23/2018,11:35:56 AM,666,9.4,27.66305351,25.37848854,25.07871819,25.50315857,26.85325432,24.5898819
4/23/2018,11:35:56 AM,866,9.6,27.6997261,25.40343285,25.17873001,25.52807617,26.87787628,24.67777824
4/23/2018,11:35:57 AM,0,9.734,27.74860764,25.4533062,25.20371819,25.59034538,26.92710876,24.7154274
4/23/2018,11:35:57 AM,133,9.867,27.68750381,25.50315857,25.19122505,25.59034538,26.92710876,24.69033051
4/23/2018,11:35:57 AM,266,10,27.71194839,25.47823524,25.21621132,25.61524391,26.91480255,24.70287895
4/23/2018,11:35:57 AM,400,10.134,27.71194839,25.50315857,25.25368118,25.67746544,26.95171547,24.74052048
4/23/2018,11:35:57 AM,466,10.2,27.71194839,25.52807617,25.24119186,25.64013672,27.00091553,24.72797394
4/23/2018,11:35:57 AM,599,10.333,27.79746628,25.50315857,25.24119186,25.67746544,26.98861694,24.74052048
4/23/2018,11:35:57 AM,733,10.467,27.74860764,25.47823524,25.24119186,25.67746544,26.93941307,24.76560593
4/23/2018,11:35:57 AM,933,10.667,27.72416878,25.41590309,25.20371819,25.65258026,26.89018631,24.7530632
4/23/2018,11:35:58 AM,66,10.8,27.71194839,25.44083977,25.22870255,25.65258026,26.96401787,24.7530632
4/23/2018,11:35:58 AM,200,10.934,27.7608242,25.55298805,25.32858086,25.68990517,26.96401787,24.79068756
4/23/2018,11:35:58 AM,266,11,27.72416878,25.50315857,25.26616669,25.6650238,26.96401787,24.77814674
4/23/2018,11:35:58 AM,400,11.134,27.6997261,25.47823524,25.25368118,25.68990517,26.91480255,24.76560593
4/23/2018,11:35:58 AM,533,11.267,27.68750381,25.49069786,25.25368118,25.6650238,26.93941307,24.72797394
4/23/2018,11:35:58 AM,599,11.333,27.67527962,25.51561737,25.27865219,25.6650238,26.89018631,24.72797394
4/23/2018,11:35:58 AM,733,11.467,27.6508255,25.50315857,25.25368118,25.65258026,26.87787628,24.74052048
4/23/2018,11:35:58 AM,866,11.6,27.62636757,25.49069786,25.26616669,25.62769127,26.85325432,24.7154274
4/23/2018,11:35:59 AM,0,11.734,27.67527962,25.47823524,25.27865219,25.6650238,26.93941307,24.74052048
4/23/2018,11:35:59 AM,66,11.8,27.71194839,25.49069786,25.30361938,25.6650238,26.92710876,24.7530632
4/23/2018,11:35:59 AM,200,11.934,27.63859749,25.49069786,25.25368118,25.65258026,26.93941307,24.72797394
4/23/2018,11:35:59 AM,266,12,27.6997261,25.51561737,25.31610107,25.67746544,26.97631836,24.79068756
