Time,Description,Zone 9,Zone 9 Annotations
16:12:31,2D_255,30,
16:13:32,2D_255,30,
16:14:32,2D_255,30,
16:15:33,2D_255,30,
16:16:33,2D_255,30,
16:17:34,2D_255,31,
16:18:34,2D_255,30,
16:19:35,2D_255,30,
16:20:35,2D_255,31,
16:21:35,2D_255,31,After 9min - 31C
