Time,Description,Zone 9,Zone 9 Annotations
16:22:05,3D_140,30,
16:23:06,3D_140,31,
16:24:06,3D_140,31,
16:25:07,3D_140,31,
16:26:07,3D_140,31,
16:27:08,3D_140,31,
16:28:08,3D_140,32,
16:29:09,3D_140,32,
16:30:09,3D_140,32,
16:31:10,3D_140,32,
16:32:10,3D_140,32,After 10min - 32C
