14:28:42,Dungeon3D102,28000,39,30,39,39,490
14:29:42,Dungeon3D102,29000,41,31,41,41,515
14:30:42,Dungeon3D102,30000,42,32,43,42,531
14:31:43,Dungeon3D102,31000,44,33,44,43,541
14:32:43,Dungeon3D102,32000,44,34,44,44,538
14:33:43,Dungeon3D102,33000,45,35,45,44,541
14:34:44,Dungeon3D102,33000,45,35,45,45,544
14:35:44,Dungeon3D102,34000,45,36,46,45,550
14:36:44,Dungeon3D102,34000,46,36,46,46,554
14:37:45,Dungeon3D102,35000,46,37,47,46,557
14:38:45,Dungeon3D102,35000,47,37,47,47,563
14:39:45,Dungeon3D102,35000,47,37,47,47,563
14:40:46,Dungeon3D102,36000,46,38,46,46,557
14:41:46,Dungeon3D102,36000,47,38,47,47,544
14:42:46,Dungeon3D102,36000,47,38,48,47,566
14:43:47,Dungeon3D102,36000,47,38,47,47,566
14:44:47,Dungeon3D102,37000,47,38,47,47,570
