Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,3:40:35 PM,15:40:35,42.49131393,40.50517273,40.3731308,38.95609283
4/18/2018,3:40:35 PM,15:40:35,42.37213516,40.39514923,40.28503036,38.8781395
4/18/2018,3:40:36 PM,15:40:36,42.51296997,40.46117401,40.30706024,38.91155243
4/18/2018,3:40:36 PM,15:40:36,42.49131393,40.4721756,40.2960434,38.94495773
4/18/2018,3:40:37 PM,15:40:37,42.36129761,40.41716003,40.2740097,38.86699677
4/18/2018,3:40:37 PM,15:40:37,42.41548538,40.35111237,40.2519722,38.84471512
4/18/2018,3:40:37 PM,15:40:37,42.35045624,40.36212158,40.2519722,38.8781395
4/18/2018,3:40:37 PM,15:40:37,42.33961487,40.36212158,40.26299286,38.88927841
4/18/2018,3:40:38 PM,15:40:38,42.3287735,40.30706024,40.16378784,38.86699677
4/18/2018,3:40:38 PM,15:40:38,42.30708313,40.26299286,40.18584061,38.8781395
4/18/2018,3:40:38 PM,15:40:38,42.25284958,40.2740097,40.18584061,38.84471512
4/18/2018,3:40:39 PM,15:40:39,42.23115158,40.22993469,40.14173126,38.77783966
4/18/2018,3:40:39 PM,15:40:39,42.23115158,40.22993469,40.11967087,38.77783966
4/18/2018,3:40:39 PM,15:40:39,42.20944595,40.21891022,40.10863876,38.76669312
4/18/2018,3:40:39 PM,15:40:39,42.22029877,40.28503036,40.17481232,38.77783966
4/18/2018,3:40:40 PM,15:40:40,42.19859314,40.19686508,40.11967087,38.73323822
4/18/2018,3:40:40 PM,15:40:40,42.22029877,40.17481232,40.07553864,38.81128311
4/18/2018,3:40:41 PM,15:40:41,42.19859314,40.18584061,40.08657455,38.84471512
4/18/2018,3:40:41 PM,15:40:41,42.18773651,40.19686508,40.0534668,38.81128311
4/18/2018,3:40:41 PM,15:40:41,42.22029877,40.16378784,40.06450272,38.84471512
4/18/2018,3:40:41 PM,15:40:41,42.18773651,40.15275955,40.07553864,38.81128311
4/18/2018,3:40:42 PM,15:40:42,42.29623795,40.21891022,40.16378784,38.92268753
4/18/2018,3:40:42 PM,15:40:42,42.23115158,40.2519722,40.14173126,38.90041351
4/18/2018,3:40:42 PM,15:40:42,42.25284958,40.24095535,40.14173126,38.91155243
4/18/2018,3:40:43 PM,15:40:43,42.18773651,40.20788956,40.14173126,38.86699677
4/18/2018,3:40:43 PM,15:40:43,42.16602707,40.14173126,40.09760666,38.8781395
4/18/2018,3:40:43 PM,15:40:43,42.18773651,40.19686508,40.09760666,38.86699677
4/18/2018,3:40:44 PM,15:40:44,42.09000778,40.14173126,39.99827194,38.80013657
4/18/2018,3:40:44 PM,15:40:44,42.13345337,40.10863876,40.00931168,38.81128311
4/18/2018,3:40:44 PM,15:40:44,42.06828308,40.08657455,39.9651413,38.77783966
4/18/2018,3:40:45 PM,15:40:45,42.11173248,40.11967087,40.04243088,38.81128311
4/18/2018,3:40:45 PM,15:40:45,42.05741501,40.08657455,40.00931168,38.78899002
4/18/2018,3:40:45 PM,15:40:45,42.06828308,40.06450272,39.99827194,38.76669312
4/18/2018,3:40:45 PM,15:40:45,42.09000778,40.06450272,40.00931168,38.85585785
4/18/2018,3:40:46 PM,15:40:46,42.15517044,40.20788956,40.06450272,38.92268753
4/18/2018,3:40:46 PM,15:40:46,42.09000778,40.06450272,39.95409775,38.83357239
