Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939
Location X,,,,50,166,282
Location Y,,,,128,128,130
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value
5/3/2018,10:12:39 AM,675,482.162,32.77044678,35.57081604,38.46529388
5/3/2018,10:12:39 AM,945,482.432,32.80556107,35.63943863,38.45411682
5/3/2018,10:12:40 AM,216,482.703,32.87575912,35.60513306,38.54350281
5/3/2018,10:12:40 AM,486,482.973,32.85236359,35.60513306,38.49881744
5/3/2018,10:12:40 AM,756,483.243,32.78215027,35.59369659,38.45411682
5/3/2018,10:12:41 AM,297,483.784,32.85236359,35.65087128,38.4876442
5/3/2018,10:12:41 AM,567,484.054,32.88745499,35.60513306,38.53233337
5/3/2018,10:12:41 AM,837,484.324,32.86406326,35.60513306,38.44293976
5/3/2018,10:12:42 AM,108,484.595,32.9108429,35.68516159,38.56583786
5/3/2018,10:12:42 AM,378,484.865,32.9108429,35.71944427,38.57700729
5/3/2018,10:12:42 AM,648,485.135,32.93422699,35.69659042,38.59933853
5/3/2018,10:12:42 AM,918,485.405,32.9108429,35.69659042,38.58817291
5/3/2018,10:12:43 AM,189,485.676,32.89915085,35.62800217,38.50999069
5/3/2018,10:12:43 AM,729,486.216,32.95760727,35.69659042,38.66630554
5/3/2018,10:12:43 AM,999,486.486,32.9108429,35.66230392,38.57700729
5/3/2018,10:12:44 AM,270,486.757,32.9692955,35.68516159,38.56583786
5/3/2018,10:12:44 AM,540,487.027,32.9692955,35.73086929,38.59933853
5/3/2018,10:12:44 AM,810,487.297,32.9108429,35.66230392,38.56583786
5/3/2018,10:12:45 AM,81,487.568,32.93422699,35.65087128,38.50999069
5/3/2018,10:12:45 AM,621,488.108,32.9692955,35.65087128,38.55467224
5/3/2018,10:12:45 AM,891,488.378,32.94591904,35.62800217,38.43175888
5/3/2018,10:12:46 AM,162,488.649,32.94591904,35.65087128,38.55467224
5/3/2018,10:12:46 AM,432,488.919,32.86406326,35.65087128,38.49881744
5/3/2018,10:12:46 AM,702,489.189,32.89915085,35.63943863,38.53233337
5/3/2018,10:12:46 AM,972,489.459,32.86406326,35.63943863,38.52116013
5/3/2018,10:12:47 AM,243,489.73,32.88745499,35.67373276,38.43175888
5/3/2018,10:12:47 AM,513,490,32.9692955,35.70801926,38.52116013
5/3/2018,10:12:48 AM,54,490.541,32.93422699,35.71944427,38.54350281
5/3/2018,10:12:48 AM,324,490.811,32.89915085,35.65087128,38.47646713
5/3/2018,10:12:48 AM,594,491.081,32.94591904,35.71944427,38.47646713
5/3/2018,10:12:48 AM,864,491.351,32.78215027,35.55937576,38.36466599
5/3/2018,10:12:49 AM,135,491.622,32.88745499,35.61656952,38.39821625
5/3/2018,10:12:49 AM,675,492.162,32.86406326,35.55937576,38.35348129
5/3/2018,10:12:49 AM,945,492.432,32.85236359,35.54793549,38.35348129
5/3/2018,10:12:50 AM,216,492.703,32.86406326,35.63943863,38.37585068
5/3/2018,10:12:50 AM,486,492.973,32.95760727,35.65087128,38.37585068
5/3/2018,10:12:50 AM,756,493.243,32.88745499,35.59369659,38.47646713
5/3/2018,10:12:51 AM,26,493.513,32.94591904,35.67373276,38.49881744
5/3/2018,10:12:51 AM,297,493.784,32.92253876,35.62800217,38.43175888
5/3/2018,10:12:51 AM,837,494.324,32.88745499,35.62800217,38.420578
5/3/2018,10:12:52 AM,108,494.595,32.92253876,35.61656952,38.38703537
5/3/2018,10:12:52 AM,378,494.865,32.92253876,35.61656952,38.420578
5/3/2018,10:12:52 AM,648,495.135,32.9108429,35.60513306,38.38703537
5/3/2018,10:12:52 AM,918,495.405,32.89915085,35.59369659,38.37585068
5/3/2018,10:12:53 AM,189,495.676,32.89915085,35.62800217,38.39821625
5/3/2018,10:12:53 AM,729,496.216,32.9692955,35.66230392,38.39821625
5/3/2018,10:12:53 AM,999,496.486,32.92253876,35.61656952,38.40939713
5/3/2018,10:12:54 AM,270,496.757,32.86406326,35.57081604,38.33110428
5/3/2018,10:12:54 AM,540,497.027,33.07443619,35.71944427,38.47646713
5/3/2018,10:12:54 AM,810,497.297,32.89915085,35.65087128,38.31991577
5/3/2018,10:12:55 AM,81,497.568,32.9108429,35.63943863,38.34229279
5/3/2018,10:12:55 AM,621,498.108,32.92253876,35.65087128,38.36466599
5/3/2018,10:12:55 AM,891,498.378,32.86406326,35.65087128,38.38703537
5/3/2018,10:12:56 AM,162,498.649,32.86406326,35.63943863,38.35348129
5/3/2018,10:12:56 AM,432,498.919,32.92253876,35.65087128,38.33110428
5/3/2018,10:12:56 AM,702,499.189,32.94591904,35.67373276,38.39821625
5/3/2018,10:12:56 AM,972,499.459,32.89915085,35.62800217,38.35348129
5/3/2018,10:12:57 AM,243,499.73,32.87575912,35.61656952,38.37585068
5/3/2018,10:12:57 AM,783,500.27,32.92253876,35.58225632,38.35348129
5/3/2018,10:12:58 AM,54,500.541,32.93422699,35.61656952,38.43175888
5/3/2018,10:12:58 AM,324,500.811,32.88745499,35.63943863,38.36466599
5/3/2018,10:12:58 AM,594,501.081,32.9108429,35.63943863,38.43175888
5/3/2018,10:12:58 AM,864,501.351,32.93422699,35.65087128,38.420578
5/3/2018,10:12:59 AM,135,501.622,32.9692955,35.69659042,38.40939713
5/3/2018,10:12:59 AM,675,502.162,32.95760727,35.66230392,38.38703537
5/3/2018,10:12:59 AM,945,502.432,32.99266815,35.68516159,38.43175888
5/3/2018,10:13:00 AM,216,502.703,32.9692955,35.66230392,38.40939713
5/3/2018,10:13:00 AM,486,502.973,32.87575912,35.60513306,38.35348129
5/3/2018,10:13:00 AM,756,503.243,32.92253876,35.66230392,38.35348129
5/3/2018,10:13:01 AM,297,503.784,32.9692955,35.65087128,38.33110428
5/3/2018,10:13:01 AM,567,504.054,32.9692955,35.68516159,38.39821625
5/3/2018,10:13:01 AM,837,504.324,32.98098373,35.70801926,38.39821625
5/3/2018,10:13:02 AM,108,504.595,33.01603699,35.73086929,38.420578
5/3/2018,10:13:02 AM,378,504.865,33.08611298,35.81081772,38.45411682
5/3/2018,10:13:02 AM,648,505.135,33.19115067,35.84506607,38.47646713
5/3/2018,10:13:03 AM,189,505.676,33.17948532,35.82223511,38.46529388
5/3/2018,10:13:03 AM,459,505.946,33.09778976,35.75371933,38.50999069
5/3/2018,10:13:03 AM,729,506.216,33.15615082,35.84506607,38.44293976
5/3/2018,10:13:03 AM,999,506.486,33.15615082,35.79940033,38.53233337
5/3/2018,10:13:04 AM,270,506.757,33.15615082,35.74229431,38.420578
5/3/2018,10:13:04 AM,540,507.027,33.14447784,35.75371933,38.43175888
5/3/2018,10:13:05 AM,81,507.568,33.19115067,35.84506607,38.56583786
5/3/2018,10:13:05 AM,351,507.838,33.16781998,35.85647964,38.49881744
5/3/2018,10:13:05 AM,621,508.108,33.07443619,35.81081772,38.44293976
5/3/2018,10:13:05 AM,891,508.378,33.12113571,35.79940033,38.47646713
5/3/2018,10:13:06 AM,162,508.649,33.12113571,35.79940033,38.420578
5/3/2018,10:13:06 AM,432,508.919,33.08611298,35.76514053,38.40939713
5/3/2018,10:13:06 AM,972,509.459,32.95760727,35.74229431,38.36466599
5/3/2018,10:13:07 AM,243,509.73,33.03939819,35.71944427,38.29753494
5/3/2018,10:13:07 AM,513,510,32.95760727,35.65087128,38.2751503
5/3/2018,10:13:07 AM,783,510.27,32.95760727,35.65087128,38.33110428
5/3/2018,10:13:08 AM,54,510.541,33.0627594,35.75371933,38.35348129
5/3/2018,10:13:08 AM,594,511.081,33.03939819,35.74229431,38.36466599
5/3/2018,10:13:08 AM,864,511.351,33.09778976,35.77656174,38.39821625
5/3/2018,10:13:09 AM,135,511.622,33.09778976,35.73086929,38.38703537
5/3/2018,10:13:09 AM,405,511.892,33.09778976,35.73086929,38.420578
5/3/2018,10:13:09 AM,675,512.162,33.10946274,35.76514053,38.49881744
5/3/2018,10:13:09 AM,945,512.432,33.09778976,35.78798294,38.47646713
5/3/2018,10:13:10 AM,216,512.703,33.08611298,35.82223511,38.43175888
5/3/2018,10:13:10 AM,756,513.243,33.0627594,35.79940033,38.44293976
5/3/2018,10:13:11 AM,26,513.513,33.0627594,35.74229431,38.44293976
5/3/2018,10:13:11 AM,297,513.784,33.0627594,35.73086929,38.43175888
5/3/2018,10:13:11 AM,567,514.054,33.03939819,35.78798294,38.50999069
5/3/2018,10:13:11 AM,837,514.324,33.14447784,35.77656174,38.52116013
5/3/2018,10:13:12 AM,108,514.595,33.15615082,35.82223511,38.47646713
5/3/2018,10:13:12 AM,378,514.865,33.09778976,35.77656174,38.44293976
5/3/2018,10:13:12 AM,918,515.405,33.07443619,35.8336525,38.44293976
5/3/2018,10:13:13 AM,189,515.676,33.10946274,35.81081772,38.43175888
5/3/2018,10:13:13 AM,459,515.946,33.08611298,35.8336525,38.44293976
5/3/2018,10:13:13 AM,729,516.216,33.0627594,35.77656174,38.38703537
5/3/2018,10:13:13 AM,999,516.486,33.0510788,35.78798294,38.40939713
5/3/2018,10:13:14 AM,540,517.027,33.03939819,35.74229431,38.40939713
5/3/2018,10:13:14 AM,810,517.297,33.02771759,35.75371933,38.420578
5/3/2018,10:13:15 AM,81,517.568,33.12113571,35.76514053,38.47646713
5/3/2018,10:13:15 AM,351,517.838,33.10946274,35.78798294,38.53233337
5/3/2018,10:13:15 AM,621,518.108,33.0510788,35.75371933,38.40939713
5/3/2018,10:13:15 AM,891,518.378,33.00435257,35.73086929,38.33110428
5/3/2018,10:13:16 AM,162,518.649,33.03939819,35.76514053,38.420578
5/3/2018,10:13:16 AM,432,518.919,33.03939819,35.77656174,38.44293976
5/3/2018,10:13:16 AM,972,519.459,33.12113571,35.81081772,38.52116013
5/3/2018,10:13:17 AM,243,519.73,33.10946274,35.82223511,38.4876442
5/3/2018,10:13:17 AM,513,520,33.09778976,35.81081772,38.44293976
5/3/2018,10:13:17 AM,783,520.27,33.14447784,35.85647964,38.50999069
5/3/2018,10:13:18 AM,54,520.541,33.13280869,35.81081772,38.4876442
5/3/2018,10:13:18 AM,324,520.811,33.12113571,35.82223511,38.46529388
5/3/2018,10:13:18 AM,594,521.081,33.08611298,35.85647964,38.52116013
5/3/2018,10:13:19 AM,135,521.622,33.19115067,35.90212631,38.59933853
5/3/2018,10:13:19 AM,405,521.892,33.16781998,35.82223511,38.44293976
5/3/2018,10:13:19 AM,675,522.162,33.08611298,35.76514053,38.35348129
5/3/2018,10:13:19 AM,945,522.432,33.08611298,35.84506607,38.420578
5/3/2018,10:13:20 AM,216,522.703,33.0627594,35.81081772,38.40939713
5/3/2018,10:13:20 AM,486,522.973,33.09778976,35.82223511,38.50999069
5/3/2018,10:13:21 AM,26,523.513,33.10946274,35.77656174,38.43175888
5/3/2018,10:13:21 AM,297,523.784,33.09778976,35.8336525,38.4876442
5/3/2018,10:13:21 AM,567,524.054,33.09778976,35.84506607,38.53233337
5/3/2018,10:13:21 AM,837,524.324,33.10946274,35.84506607,38.45411682
5/3/2018,10:13:22 AM,108,524.595,33.07443619,35.85647964,38.50999069
5/3/2018,10:13:22 AM,378,524.865,33.0627594,35.76514053,38.43175888
5/3/2018,10:13:22 AM,648,525.135,33.01603699,35.76514053,38.43175888
5/3/2018,10:13:23 AM,189,525.676,32.95760727,35.75371933,38.40939713
5/3/2018,10:13:23 AM,459,525.946,32.9692955,35.73086929,38.37585068
5/3/2018,10:13:23 AM,729,526.216,32.9692955,35.70801926,38.36466599
5/3/2018,10:13:23 AM,999,526.486,32.88745499,35.73086929,38.37585068
5/3/2018,10:13:24 AM,270,526.757,33.01603699,35.77656174,38.37585068
5/3/2018,10:13:24 AM,540,527.027,33.0627594,35.78798294,38.43175888
5/3/2018,10:13:24 AM,810,527.297,33.02771759,35.78798294,38.46529388
5/3/2018,10:13:25 AM,81,527.568,32.9692955,35.76514053,38.420578
5/3/2018,10:13:25 AM,351,527.838,33.01603699,35.74229431,38.39821625
5/3/2018,10:13:25 AM,891,528.378,33.02771759,35.76514053,38.4876442
5/3/2018,10:13:26 AM,162,528.649,33.09778976,35.82223511,38.52116013
5/3/2018,10:13:26 AM,432,528.919,33.01603699,35.84506607,38.53233337
5/3/2018,10:13:26 AM,702,529.189,33.03939819,35.79940033,38.52116013
5/3/2018,10:13:26 AM,972,529.459,33.01603699,35.76514053,38.45411682
5/3/2018,10:13:27 AM,243,529.73,33.02771759,35.8336525,38.44293976
5/3/2018,10:13:27 AM,513,530,33.0510788,35.8336525,38.54350281
5/3/2018,10:13:28 AM,54,530.541,33.00435257,35.8336525,38.50999069
5/3/2018,10:13:28 AM,324,530.811,33.03939819,35.81081772,38.49881744
5/3/2018,10:13:28 AM,594,531.081,33.03939819,35.87930679,38.49881744
5/3/2018,10:13:28 AM,864,531.351,33.00435257,35.82223511,38.50999069
5/3/2018,10:13:29 AM,135,531.622,32.99266815,35.81081772,38.52116013
5/3/2018,10:13:29 AM,405,531.892,33.00435257,35.84506607,38.56583786
5/3/2018,10:13:29 AM,945,532.432,33.09778976,35.87930679,38.63282394
5/3/2018,10:13:30 AM,216,532.703,33.10946274,35.85647964,38.58817291
5/3/2018,10:13:30 AM,486,532.973,33.10946274,35.90212631,38.61050034
5/3/2018,10:13:30 AM,756,533.243,33.12113571,35.91353607,38.62166214
5/3/2018,10:13:31 AM,297,533.784,33.10946274,35.90212631,38.57700729
5/3/2018,10:13:31 AM,567,534.054,33.08611298,35.8336525,38.46529388
5/3/2018,10:13:31 AM,837,534.324,33.13280869,35.89071655,38.55467224
5/3/2018,10:13:32 AM,108,534.595,33.20281601,35.90212631,38.52116013
5/3/2018,10:13:32 AM,378,534.865,33.19115067,35.94775391,38.67746353
5/3/2018,10:13:32 AM,648,535.135,33.15615082,35.97056198,38.63282394
5/3/2018,10:13:32 AM,918,535.405,33.19115067,35.92494202,38.62166214
5/3/2018,10:13:33 AM,459,535.946,33.19115067,35.93634796,38.63282394
5/3/2018,10:13:33 AM,729,536.216,33.17948532,35.93634796,38.64398575
5/3/2018,10:13:33 AM,999,536.486,33.23780823,35.94775391,38.62166214
5/3/2018,10:13:34 AM,270,536.757,33.17948532,35.92494202,38.61050034
5/3/2018,10:13:34 AM,540,537.027,33.12113571,35.92494202,38.59933853
5/3/2018,10:13:35 AM,81,537.568,33.23780823,35.87930679,38.57700729
5/3/2018,10:13:35 AM,351,537.838,33.27278519,35.90212631,38.54350281
5/3/2018,10:13:35 AM,621,538.108,33.23780823,35.91353607,38.62166214
5/3/2018,10:13:35 AM,891,538.378,33.20281601,35.95915604,38.65514755
5/3/2018,10:13:36 AM,162,538.649,33.31940842,35.95915604,38.58817291
5/3/2018,10:13:36 AM,432,538.919,33.27278519,35.92494202,38.67746353
5/3/2018,10:13:36 AM,972,539.459,33.17948532,35.86789322,38.53233337
5/3/2018,10:13:37 AM,243,539.73,33.26112747,35.90212631,38.59933853
5/3/2018,10:13:37 AM,513,540,33.21448135,35.89071655,38.54350281
5/3/2018,10:13:37 AM,783,540.27,33.21448135,35.90212631,38.61050034
5/3/2018,10:13:38 AM,54,540.541,33.20281601,35.91353607,38.59933853
5/3/2018,10:13:38 AM,324,540.811,33.19115067,35.90212631,38.55467224
5/3/2018,10:13:38 AM,594,541.081,33.2844429,35.99336624,38.6997757
5/3/2018,10:13:39 AM,135,541.622,33.20281601,35.97056198,38.56583786
5/3/2018,10:13:39 AM,405,541.892,33.20281601,36.00476456,38.57700729
5/3/2018,10:13:39 AM,675,542.162,33.2844429,35.99336624,38.65514755
5/3/2018,10:13:39 AM,945,542.432,33.2844429,35.97056198,38.62166214
5/3/2018,10:13:40 AM,216,542.703,33.23780823,35.95915604,38.57700729
5/3/2018,10:13:40 AM,756,543.243,33.29610062,36.00476456,38.61050034
5/3/2018,10:13:41 AM,26,543.513,33.24946594,35.97056198,38.54350281
5/3/2018,10:13:41 AM,297,543.784,33.29610062,35.98196411,38.61050034
5/3/2018,10:13:41 AM,567,544.054,33.26112747,35.97056198,38.67746353
5/3/2018,10:13:41 AM,837,544.324,33.27278519,36.0389595,38.63282394
5/3/2018,10:13:42 AM,108,544.595,33.37766266,36.0389595,38.6997757
5/3/2018,10:13:42 AM,378,544.865,33.3427124,36.050354,38.6997757
5/3/2018,10:13:42 AM,918,545.405,33.33106232,36.050354,38.63282394
5/3/2018,10:13:43 AM,189,545.676,33.31940842,36.050354,38.6997757
5/3/2018,10:13:43 AM,459,545.946,33.2844429,36.0389595,38.59933853
5/3/2018,10:13:43 AM,729,546.216,33.35436249,36.14148331,38.68862152
5/3/2018,10:13:43 AM,999,546.486,33.23780823,35.99336624,38.55467224
5/3/2018,10:13:44 AM,270,546.757,33.24946594,35.98196411,38.61050034
5/3/2018,10:13:44 AM,540,547.027,33.26112747,35.95915604,38.55467224
5/3/2018,10:13:45 AM,81,547.568,33.26112747,36.0389595,38.56583786
5/3/2018,10:13:45 AM,351,547.838,33.35436249,36.0617485,38.61050034
5/3/2018,10:13:45 AM,621,548.108,33.31940842,36.0389595,38.58817291
5/3/2018,10:13:45 AM,891,548.378,33.35436249,36.050354,38.61050034
5/3/2018,10:13:46 AM,162,548.649,33.30775452,35.98196411,38.56583786
5/3/2018,10:13:46 AM,432,548.919,33.31940842,36.050354,38.61050034
5/3/2018,10:13:46 AM,702,549.189,33.4009552,36.09592819,38.63282394
5/3/2018,10:13:47 AM,243,549.73,33.29610062,36.0617485,38.55467224
5/3/2018,10:13:47 AM,513,550,33.3427124,36.02756119,38.59933853
5/3/2018,10:13:47 AM,783,550.27,33.33106232,36.02756119,38.58817291
5/3/2018,10:13:48 AM,54,550.541,33.29610062,36.0389595,38.64398575
5/3/2018,10:13:48 AM,594,551.081,33.29610062,36.00476456,38.54350281
5/3/2018,10:13:48 AM,864,551.351,33.26112747,35.98196411,38.50999069
5/3/2018,10:13:49 AM,135,551.622,33.29610062,36.00476456,38.53233337
5/3/2018,10:13:49 AM,405,551.892,33.2844429,35.97056198,38.56583786
5/3/2018,10:13:49 AM,675,552.162,33.29610062,35.99336624,38.52116013
5/3/2018,10:13:50 AM,216,552.703,33.23780823,35.99336624,38.52116013
5/3/2018,10:13:50 AM,486,552.973,33.2261467,35.99336624,38.52116013
5/3/2018,10:13:50 AM,756,553.243,33.29610062,35.99336624,38.56583786
5/3/2018,10:13:51 AM,26,553.513,33.23780823,36.02756119,38.49881744
5/3/2018,10:13:51 AM,297,553.784,33.2844429,36.0617485,38.59933853
5/3/2018,10:13:51 AM,567,554.054,33.2261467,36.02756119,38.52116013
5/3/2018,10:13:51 AM,837,554.324,33.26112747,36.02756119,38.56583786
5/3/2018,10:13:52 AM,108,554.595,33.30775452,36.07314301,38.62166214
5/3/2018,10:13:52 AM,648,555.135,33.3427124,36.050354,38.57700729
5/3/2018,10:13:52 AM,918,555.405,33.31940842,36.07314301,38.54350281
5/3/2018,10:13:53 AM,189,555.676,33.37766266,36.10731888,38.59933853
5/3/2018,10:13:53 AM,459,555.946,33.38930893,36.13009644,38.59933853
5/3/2018,10:13:53 AM,729,556.216,33.35436249,36.08453369,38.61050034
5/3/2018,10:13:53 AM,999,556.486,33.23780823,36.0617485,38.49881744
5/3/2018,10:13:54 AM,270,556.757,33.30775452,36.0617485,38.62166214
5/3/2018,10:13:54 AM,540,557.027,33.29610062,36.0617485,38.54350281
5/3/2018,10:13:55 AM,81,557.568,33.31940842,36.0389595,38.58817291
5/3/2018,10:13:55 AM,351,557.838,33.2844429,36.0389595,38.52116013
5/3/2018,10:13:55 AM,621,558.108,33.3427124,36.08453369,38.57700729
5/3/2018,10:13:55 AM,891,558.378,33.3427124,36.07314301,38.65514755
5/3/2018,10:13:56 AM,432,558.919,33.29610062,36.07314301,38.55467224
5/3/2018,10:13:56 AM,702,559.189,33.30775452,36.07314301,38.59933853
5/3/2018,10:13:56 AM,972,559.459,33.2844429,36.00476456,38.55467224
5/3/2018,10:13:57 AM,243,559.73,33.30775452,36.0617485,38.56583786
5/3/2018,10:13:57 AM,513,560,33.3427124,36.10731888,38.62166214
5/3/2018,10:13:57 AM,783,560.27,33.55225372,36.26667404,38.81128311
5/3/2018,10:13:58 AM,54,560.541,33.50572205,36.25529861,38.81128311
5/3/2018,10:13:58 AM,324,560.811,33.55225372,36.25529861,38.82242584
5/3/2018,10:13:58 AM,864,561.351,33.61039352,36.27804947,38.76669312
5/3/2018,10:13:59 AM,135,561.622,33.6336441,36.31216812,38.78899002
5/3/2018,10:13:59 AM,405,561.892,33.55225372,36.23254395,38.6997757
5/3/2018,10:13:59 AM,675,562.162,33.56388474,36.24392319,38.77783966
5/3/2018,10:13:59 AM,945,562.432,33.57551193,36.27804947,38.71092987
5/3/2018,10:14:00 AM,216,562.703,33.50572205,36.25529861,38.71092987
5/3/2018,10:14:00 AM,486,562.973,33.54062271,36.2894249,38.72208405
5/3/2018,10:14:01 AM,26,563.513,33.58714294,36.34627914,38.84471512
5/3/2018,10:14:01 AM,297,563.784,33.59877014,36.31216812,38.82242584
5/3/2018,10:14:01 AM,567,564.054,33.58714294,36.31216812,38.76669312
5/3/2018,10:14:01 AM,837,564.324,33.51735687,36.27804947,38.78899002
5/3/2018,10:14:02 AM,108,564.595,33.55225372,36.26667404,38.76669312
5/3/2018,10:14:02 AM,378,564.865,33.55225372,36.31216812,38.78899002
5/3/2018,10:14:02 AM,648,565.135,33.54062271,36.34627914,38.8781395
5/3/2018,10:14:03 AM,189,565.676,33.54062271,36.34627914,38.81128311
5/3/2018,10:14:03 AM,459,565.946,33.54062271,36.32353973,38.76669312
5/3/2018,10:14:03 AM,729,566.216,33.59877014,36.32353973,38.75554276
5/3/2018,10:14:03 AM,999,566.486,33.44752884,36.26667404,38.6997757
5/3/2018,10:14:04 AM,270,566.757,33.48244858,36.17564011,38.62166214
5/3/2018,10:14:04 AM,540,567.027,33.48244858,36.17564011,38.61050034
5/3/2018,10:14:04 AM,810,567.297,33.41260147,36.14148331,38.58817291
5/3/2018,10:14:05 AM,351,567.838,33.43588638,36.18702316,38.61050034
5/3/2018,10:14:05 AM,621,568.108,33.37766266,36.13009644,38.56583786
5/3/2018,10:14:05 AM,891,568.378,33.4009552,36.10731888,38.57700729
5/3/2018,10:14:06 AM,162,568.649,33.4009552,36.15287018,38.66630554
5/3/2018,10:14:06 AM,432,568.919,33.4009552,36.14148331,38.64398575
5/3/2018,10:14:06 AM,702,569.189,33.41260147,36.14148331,38.61050034
5/3/2018,10:14:06 AM,972,569.459,33.54062271,36.20978546,38.63282394
5/3/2018,10:14:07 AM,513,570,33.51735687,36.17564011,38.63282394
5/3/2018,10:14:07 AM,783,570.27,33.4940834,36.19840622,38.62166214
5/3/2018,10:14:08 AM,54,570.541,33.43588638,36.19840622,38.59933853
5/3/2018,10:14:08 AM,324,570.811,33.48244858,36.2211647,38.66630554
5/3/2018,10:14:08 AM,594,571.081,33.56388474,36.25529861,38.73323822
5/3/2018,10:14:08 AM,864,571.351,33.56388474,36.33490753,38.7443924
5/3/2018,10:14:09 AM,135,571.622,33.51735687,36.30079651,38.73323822
5/3/2018,10:14:09 AM,405,571.892,33.52898788,36.27804947,38.67746353
5/3/2018,10:14:09 AM,945,572.432,33.4940834,36.25529861,38.68862152
5/3/2018,10:14:10 AM,216,572.703,33.54062271,36.25529861,38.66630554
5/3/2018,10:14:10 AM,486,572.973,33.51735687,36.23254395,38.6997757
5/3/2018,10:14:10 AM,756,573.243,33.4591713,36.15287018,38.55467224
5/3/2018,10:14:11 AM,26,573.513,33.51735687,36.20978546,38.64398575
5/3/2018,10:14:11 AM,297,573.784,33.48244858,36.19840622,38.64398575
5/3/2018,10:14:11 AM,837,574.324,33.58714294,36.2211647,38.59933853
5/3/2018,10:14:12 AM,108,574.595,33.48244858,36.23254395,38.61050034
5/3/2018,10:14:12 AM,378,574.865,33.55225372,36.26667404,38.63282394
5/3/2018,10:14:12 AM,648,575.135,33.4940834,36.20978546,38.4876442
5/3/2018,10:14:12 AM,918,575.405,33.4591713,36.2211647,38.56583786
5/3/2018,10:14:13 AM,189,575.676,33.54062271,36.27804947,38.61050034
5/3/2018,10:14:13 AM,459,575.946,33.54062271,36.20978546,38.55467224
5/3/2018,10:14:13 AM,729,576.216,33.54062271,36.20978546,38.59933853
5/3/2018,10:14:14 AM,270,576.757,33.61039352,36.25529861,38.59933853
5/3/2018,10:14:14 AM,540,577.027,33.50572205,36.15287018,38.52116013
5/3/2018,10:14:14 AM,810,577.297,33.59877014,36.2211647,38.56583786
5/3/2018,10:14:15 AM,81,577.568,33.52898788,36.25529861,38.57700729
5/3/2018,10:14:15 AM,351,577.838,33.55225372,36.23254395,38.55467224
5/3/2018,10:14:15 AM,891,578.378,33.4591713,36.20978546,38.50999069
5/3/2018,10:14:16 AM,162,578.649,33.50572205,36.20978546,38.58817291
5/3/2018,10:14:16 AM,432,578.919,33.54062271,36.23254395,38.57700729
5/3/2018,10:14:16 AM,702,579.189,33.51735687,36.17564011,38.54350281
5/3/2018,10:14:16 AM,972,579.459,33.50572205,36.15287018,38.54350281
5/3/2018,10:14:17 AM,243,579.73,33.61039352,36.19840622,38.55467224
5/3/2018,10:14:17 AM,783,580.27,33.54062271,36.24392319,38.55467224
5/3/2018,10:14:18 AM,54,580.541,33.56388474,36.24392319,38.56583786
5/3/2018,10:14:18 AM,324,580.811,33.58714294,36.17564011,38.59933853
5/3/2018,10:14:18 AM,594,581.081,33.59877014,36.20978546,38.50999069
5/3/2018,10:14:19 AM,135,581.622,33.64526749,36.2894249,38.66630554
5/3/2018,10:14:19 AM,405,581.892,33.64526749,36.36901093,38.6997757
5/3/2018,10:14:19 AM,675,582.162,33.69174576,36.32353973,38.71092987
5/3/2018,10:14:19 AM,945,582.432,33.66850662,36.34627914,38.72208405
5/3/2018,10:14:20 AM,216,582.703,33.68012619,36.32353973,38.71092987
5/3/2018,10:14:20 AM,756,583.243,33.66850662,36.33490753,38.6997757
5/3/2018,10:14:21 AM,26,583.513,33.6336441,36.33490753,38.7443924
5/3/2018,10:14:21 AM,297,583.784,33.59877014,36.34627914,38.73323822
5/3/2018,10:14:21 AM,567,584.054,33.64526749,36.36901093,38.6997757
5/3/2018,10:14:21 AM,837,584.324,33.61039352,36.34627914,38.6997757
5/3/2018,10:14:22 AM,108,584.595,33.6336441,36.36901093,38.76669312
5/3/2018,10:14:22 AM,648,585.135,33.64526749,36.36901093,38.71092987
5/3/2018,10:14:22 AM,918,585.405,33.66850662,36.40310287,38.76669312
5/3/2018,10:14:23 AM,189,585.676,33.71497726,36.38037872,38.6997757
5/3/2018,10:14:23 AM,459,585.946,33.74982071,36.41446686,38.77783966
5/3/2018,10:14:23 AM,999,586.486,33.72659302,36.36901093,38.76669312
5/3/2018,10:14:24 AM,270,586.757,33.62202072,36.27804947,38.63282394
5/3/2018,10:14:24 AM,810,587.297,33.68012619,36.33490753,38.73323822
5/3/2018,10:14:25 AM,81,587.568,33.6336441,36.31216812,38.67746353
5/3/2018,10:14:25 AM,351,587.838,33.64526749,36.27804947,38.58817291
5/3/2018,10:14:25 AM,621,588.108,33.65688705,36.27804947,38.65514755
5/3/2018,10:14:25 AM,891,588.378,33.56388474,36.23254395,38.62166214
5/3/2018,10:14:26 AM,162,588.649,33.62202072,36.2894249,38.63282394
5/3/2018,10:14:26 AM,432,588.919,33.58714294,36.33490753,38.62166214
5/3/2018,10:14:26 AM,702,589.189,33.66850662,36.26667404,38.62166214
5/3/2018,10:14:27 AM,243,589.73,33.66850662,36.33490753,38.66630554
