Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939
Location X,,,,50,166,282
Location Y,,,,128,128,130
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value
5/3/2018,10:05:00 AM,486,22.973,26.03767967,26.89018631,29.41041565
5/3/2018,10:05:00 AM,756,23.243,25.98806381,26.90249634,29.45858002
5/3/2018,10:05:01 AM,27,23.514,25.97565651,26.82862473,29.41041565
5/3/2018,10:05:01 AM,567,24.054,26.05008125,26.93941307,29.44654083
5/3/2018,10:05:01 AM,837,24.324,26.02527809,26.93941307,29.47061729
5/3/2018,10:05:02 AM,108,24.595,26.03767967,26.93941307,29.51875877
5/3/2018,10:05:02 AM,378,24.865,26.0128746,26.96401787,29.50672531
5/3/2018,10:05:02 AM,648,25.135,26.02527809,26.92710876,29.48265457
5/3/2018,10:05:02 AM,918,25.405,26.02527809,26.93941307,29.55484962
5/3/2018,10:05:03 AM,189,25.676,26.02527809,26.93941307,29.49468994
5/3/2018,10:05:03 AM,459,25.946,26.06248093,26.96401787,29.51875877
5/3/2018,10:05:03 AM,999,26.486,26.05008125,26.93941307,29.51875877
5/3/2018,10:05:04 AM,270,26.757,26.03767967,26.93941307,29.61497879
5/3/2018,10:05:04 AM,540,27.027,26.03767967,26.98861694,29.57890511
5/3/2018,10:05:04 AM,810,27.297,26.08727646,26.98861694,29.62700081
5/3/2018,10:05:05 AM,81,27.568,26.17401505,27.0500946,29.69910812
5/3/2018,10:05:05 AM,351,27.838,26.14923859,27.07467461,29.65104103
5/3/2018,10:05:05 AM,621,28.108,26.17401505,27.02550697,29.67507744
5/3/2018,10:05:05 AM,891,28.378,26.19878578,27.08696365,29.69910812
5/3/2018,10:05:06 AM,432,28.919,26.19878578,27.09925079,29.71112061
5/3/2018,10:05:06 AM,702,29.189,26.248312,27.14838791,29.8311882
5/3/2018,10:05:06 AM,972,29.459,26.17401505,27.06238556,29.71112061
5/3/2018,10:05:07 AM,243,29.73,26.27306557,27.08696365,29.78317642
5/3/2018,10:05:07 AM,513,30,26.26068878,27.13610649,29.84318733
5/3/2018,10:05:07 AM,783,30.27,26.26068878,27.22205353,29.89117432
5/3/2018,10:05:08 AM,54,30.541,26.2235508,27.18522644,29.89117432
5/3/2018,10:05:08 AM,594,31.081,26.19878578,27.19750214,29.89117432
5/3/2018,10:05:08 AM,864,31.351,26.28544044,27.19750214,29.89117432
5/3/2018,10:05:09 AM,135,31.622,26.18640137,27.14838791,29.80718422
5/3/2018,10:05:09 AM,405,31.892,26.12445831,27.14838791,29.79518127
5/3/2018,10:05:09 AM,675,32.162,26.19878578,27.18522644,29.91516113
5/3/2018,10:05:09 AM,945,32.432,26.248312,27.20977783,29.93914223
5/3/2018,10:05:10 AM,486,32.973,26.18640137,27.18522644,29.86718369
5/3/2018,10:05:10 AM,756,33.243,26.2111702,27.14838791,29.81918716
5/3/2018,10:05:11 AM,27,33.514,26.18640137,27.17294884,29.92715263
5/3/2018,10:05:11 AM,297,33.784,26.19878578,27.22205353,29.97510529
5/3/2018,10:05:11 AM,567,34.054,26.32255936,27.2834034,30.03501892
5/3/2018,10:05:11 AM,837,34.324,26.29781532,27.25886726,29.99907494
5/3/2018,10:05:12 AM,108,34.595,26.27306557,27.24659729,30.02303886
5/3/2018,10:05:12 AM,378,34.865,26.248312,27.25886726,29.99907494
5/3/2018,10:05:12 AM,918,35.405,26.29781532,27.29566956,30.04699707
5/3/2018,10:05:13 AM,189,35.676,26.27306557,27.29566956,30.04699707
5/3/2018,10:05:13 AM,459,35.946,26.26068878,27.25886726,30.0110569
5/3/2018,10:05:13 AM,729,36.216,26.2111702,27.22205353,29.98709106
5/3/2018,10:05:13 AM,999,36.486,26.248312,27.23432541,29.96311951
5/3/2018,10:05:14 AM,270,36.757,26.19878578,27.22205353,30.0110569
5/3/2018,10:05:14 AM,810,37.297,26.17401505,27.22205353,29.98709106
5/3/2018,10:05:15 AM,81,37.568,26.2111702,27.24659729,29.98709106
5/3/2018,10:05:15 AM,351,37.838,26.2359314,27.23432541,30.0110569
5/3/2018,10:05:15 AM,621,38.108,26.2359314,27.2834034,30.03501892
5/3/2018,10:05:15 AM,891,38.378,26.2235508,27.2834034,29.99907494
5/3/2018,10:05:16 AM,162,38.649,26.2235508,27.25886726,29.98709106
5/3/2018,10:05:16 AM,702,39.189,26.27306557,27.30793571,30.04699707
5/3/2018,10:05:16 AM,972,39.459,26.34729767,27.39375305,30.20261383
5/3/2018,10:05:17 AM,243,39.73,26.33492851,27.36924171,30.15475464
5/3/2018,10:05:17 AM,513,40,26.32255936,27.39375305,30.20261383
5/3/2018,10:05:17 AM,783,40.27,26.40911865,27.44276428,30.25045395
5/3/2018,10:05:18 AM,54,40.541,26.43383789,27.46726227,30.2982769
5/3/2018,10:05:18 AM,594,41.081,26.40911865,27.49175453,30.27436829
5/3/2018,10:05:18 AM,864,41.351,26.35966301,27.46726227,30.26241112
5/3/2018,10:05:19 AM,135,41.622,26.42148018,27.5039978,30.33412933
5/3/2018,10:05:19 AM,405,41.892,26.35966301,27.46726227,30.31022835
5/3/2018,10:05:19 AM,675,42.162,26.4461956,27.51624107,30.39385986
5/3/2018,10:05:19 AM,945,42.432,26.40911865,27.5039978,30.42968369
5/3/2018,10:05:20 AM,216,42.703,26.47090721,27.55296135,30.40580177
5/3/2018,10:05:20 AM,756,43.243,26.43383789,27.55296135,30.39385986
5/3/2018,10:05:21 AM,27,43.514,26.45855331,27.51624107,30.40580177
5/3/2018,10:05:21 AM,297,43.784,26.43383789,27.51624107,30.42968369
5/3/2018,10:05:21 AM,567,44.054,26.45855331,27.54072189,30.39385986
5/3/2018,10:05:21 AM,837,44.324,26.47090721,27.58967018,30.46549797
5/3/2018,10:05:22 AM,108,44.595,26.4461956,27.52848244,30.39385986
5/3/2018,10:05:22 AM,378,44.865,26.42148018,27.54072189,30.42968369
5/3/2018,10:05:22 AM,648,45.135,26.54500961,27.58967018,30.51323128
5/3/2018,10:05:23 AM,189,45.676,26.49561501,27.55296135,30.41774368
5/3/2018,10:05:23 AM,459,45.946,26.48326111,27.52848244,30.41774368
5/3/2018,10:05:23 AM,729,46.216,26.42148018,27.47950745,30.45355988
5/3/2018,10:05:23 AM,999,46.486,26.42148018,27.57743454,30.44162369
5/3/2018,10:05:24 AM,270,46.757,26.53266335,27.63859749,30.48936653
5/3/2018,10:05:24 AM,540,47.027,26.4461956,27.55296135,30.5012989
5/3/2018,10:05:24 AM,810,47.297,26.47090721,27.5651989,30.47743225
5/3/2018,10:05:25 AM,81,47.568,26.45855331,27.51624107,30.48936653
5/3/2018,10:05:25 AM,351,47.838,26.52031517,27.60190392,30.54901886
5/3/2018,10:05:25 AM,891,48.378,26.56970024,27.6508255,30.59671974
5/3/2018,10:05:26 AM,162,48.649,26.49561501,27.60190392,30.51323128
5/3/2018,10:05:26 AM,432,48.919,26.49561501,27.60190392,30.56094551
5/3/2018,10:05:26 AM,702,49.189,26.61906433,27.67527962,30.71588516
5/3/2018,10:05:26 AM,972,49.459,26.59438515,27.67527962,30.68014717
5/3/2018,10:05:27 AM,243,49.73,26.64373779,27.71194839,30.66823387
5/3/2018,10:05:27 AM,783,50.27,26.68074036,27.78525352,30.76351738
5/3/2018,10:05:28 AM,54,50.541,26.66840744,27.77303886,30.76351738
5/3/2018,10:05:28 AM,324,50.811,26.63140297,27.73638916,30.75161171
5/3/2018,10:05:28 AM,594,51.081,26.61906433,27.72416878,30.72779465
5/3/2018,10:05:29 AM,135,51.622,26.68074036,27.7608242,30.78732681
5/3/2018,10:05:29 AM,405,51.892,26.69307137,27.79746628,30.83493042
5/3/2018,10:05:29 AM,675,52.162,26.71772957,27.83409691,30.88251495
5/3/2018,10:05:29 AM,945,52.432,26.75470543,27.87071609,30.96574211
5/3/2018,10:05:30 AM,216,52.703,26.64373779,27.85851097,30.87062073
5/3/2018,10:05:30 AM,486,52.973,26.66840744,27.83409691,30.89440918
5/3/2018,10:05:31 AM,27,53.514,26.75470543,27.89512253,30.91819191
5/3/2018,10:05:31 AM,297,53.784,26.75470543,27.89512253,30.96574211
5/3/2018,10:05:31 AM,567,54.054,26.74238205,27.91952515,30.94196892
5/3/2018,10:05:31 AM,837,54.324,26.69307137,27.91952515,30.85872459
5/3/2018,10:05:32 AM,108,54.595,26.70540047,27.89512253,30.85872459
5/3/2018,10:05:32 AM,378,54.865,26.74238205,27.90732384,30.95385742
5/3/2018,10:05:32 AM,648,55.135,26.74238205,27.91952515,30.95385742
5/3/2018,10:05:32 AM,918,55.405,26.75470543,27.93172264,30.95385742
