Plot 1 FLIR USB Video,,,,,,,,,,,
,,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,285,284,166,34,120,31,287
Location Y,,,,115,74,119,115,68,114,175,178
Size X,,,,,,,,,,,
Size Y,,,,,,,,,,,
Surface (pixels),,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value,Sp8.Value
4/24/2018,1:43:47 PM,918,10.27,41.1414566,37.01517868,36.70952225,32.26599503,39.89885712,30.82303238,37.56798553,35.54793549
4/24/2018,1:43:48 PM,189,10.541,41.1414566,37.02648544,36.70952225,32.26599503,39.85464859,30.82303238,37.44409943,35.53649139
4/24/2018,1:43:48 PM,459,10.811,41.1414566,37.03779221,36.73218918,32.24247742,39.88780594,30.79922867,37.43283081,35.52505112
4/24/2018,1:43:48 PM,999,11.351,41.15240097,37.0603981,36.73218918,32.27774811,39.92095566,30.81113052,37.48916245,35.54793549
4/24/2018,1:43:49 PM,270,11.622,41.11956787,37.03779221,36.72085571,32.21895981,39.92095566,30.77542305,37.46663284,35.49071121
4/24/2018,1:43:49 PM,540,11.892,41.19615936,37.03779221,36.72085571,32.25423813,39.97618484,30.82303238,37.44409943,35.51360321
4/24/2018,1:43:49 PM,810,12.162,41.17428207,37.07170105,36.70952225,32.25423813,39.94305038,30.82303238,37.42156219,35.55937576
4/24/2018,1:43:50 PM,351,12.703,41.23990631,37.12819672,36.78883743,32.26599503,39.9651413,30.83493042,37.44409943,35.63943863
4/24/2018,1:43:50 PM,621,12.973,41.25084305,37.07170105,36.78883743,32.31300735,39.95409775,30.81113052,37.48916245,35.61656952
4/24/2018,1:43:50 PM,891,13.243,41.30550003,37.21853638,36.81148911,32.31300735,40.0534668,30.83493042,37.50042343,35.67373276
4/24/2018,1:43:51 PM,162,13.514,41.25084305,37.10560226,36.80016327,32.27774811,39.92095566,30.78732681,37.47789764,35.65087128
4/24/2018,1:43:51 PM,432,13.784,41.17428207,37.0603981,36.87942505,32.24247742,39.94305038,30.76351738,37.45536423,35.65087128
4/24/2018,1:43:51 PM,972,14.324,41.22897339,37.12819672,36.83414078,32.23072052,39.9651413,30.77542305,37.52294922,35.65087128
4/24/2018,1:43:52 PM,243,14.595,41.16334152,37.04909515,36.76618195,32.19543457,39.86570358,30.73970413,37.48916245,35.65087128
4/24/2018,1:43:52 PM,513,14.865,41.20709991,37.083004,36.8454628,32.21895981,39.95409775,30.81113052,37.46663284,35.70801926
4/24/2018,1:43:52 PM,783,15.135,41.15240097,37.03779221,36.76618195,32.2071991,39.89885712,30.76351738,37.39901733,35.60513306
4/24/2018,1:43:53 PM,324,15.676,41.1414566,37.01517868,36.76618195,32.25423813,39.93200302,30.75161171,37.37647247,35.62800217
4/24/2018,1:43:53 PM,594,15.946,41.18522263,37.1169014,36.8454628,32.25423813,39.94305038,30.77542305,37.46663284,35.65087128
4/24/2018,1:43:53 PM,864,16.216,41.1414566,37.16208267,36.89074326,32.27774811,39.97618484,30.79922867,37.45536423,35.69659042
4/24/2018,1:43:54 PM,134,16.486,41.15240097,37.10560226,36.86810303,32.24247742,39.94305038,30.79922867,37.48916245,35.70801926
4/24/2018,1:43:54 PM,405,16.757,41.06483078,37.083004,36.80016327,32.19543457,39.87675476,30.71588516,37.44409943,35.62800217
4/24/2018,1:43:54 PM,675,17.027,41.07577896,37.03779221,36.74351883,32.14837265,39.8435936,30.71588516,37.3877449,35.55937576
4/24/2018,1:43:54 PM,945,17.297,41.0538826,37.02648544,36.67551041,32.18367004,39.8325386,30.69206047,37.33136749,35.54793549
