Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,5:09:36 PM,296,13.783,31.17055321,31.26537132,31.30090904,30.09856415,30.74292564,29.25798416,31.17055321
4/24/2018,5:09:36 PM,567,14.054,31.24167442,31.25352287,31.24167442,30.11052895,30.71912193,29.22182274,31.17055321
4/24/2018,5:09:36 PM,837,14.324,31.26537132,31.27721786,31.3245945,30.12249184,30.77861977,29.33027077,31.15869522
4/24/2018,5:09:37 PM,107,14.594,31.3245945,31.37195206,31.37195206,30.17033386,30.83808708,29.36639786,31.22982407
4/24/2018,5:09:37 PM,378,14.865,31.3245945,31.36011505,31.3245945,30.15837479,30.80241013,29.31822586,31.22982407
4/24/2018,5:09:37 PM,648,15.135,31.30090904,31.38378906,31.40745735,30.23011017,30.88563919,29.41454887,31.28906441
4/24/2018,5:09:37 PM,918,15.405,31.30090904,31.37195206,31.33643532,30.13445473,30.83808708,29.31822586,31.2179718
4/24/2018,5:09:38 PM,459,15.946,31.38378906,31.38378906,31.38378906,30.24205971,30.90940857,29.4025135,31.30090904
4/24/2018,5:09:38 PM,729,16.216,31.28906441,31.30090904,31.33643532,30.18229103,30.83808708,29.37843704,31.24167442
4/24/2018,5:09:38 PM,999,16.486,31.28906441,31.28906441,31.25352287,30.13445473,30.81430435,29.28208351,31.15869522
4/24/2018,5:09:39 PM,269,16.756,31.26537132,31.26537132,31.25352287,30.15837479,30.80241013,29.31822586,31.20611954
4/24/2018,5:09:39 PM,540,17.027,31.2179718,31.24167442,31.15869522,30.12249184,30.74292564,29.23387718,31.11125183
4/24/2018,5:09:40 PM,80,17.567,31.19426537,31.17055321,31.17055321,30.05069351,30.71912193,29.24593163,31.09938812
4/24/2018,5:09:40 PM,351,17.838,31.17055321,31.19426537,31.18240929,29.99082756,30.74292564,29.19771004,31.12311554
4/24/2018,5:09:40 PM,621,18.108,31.15869522,31.17055321,31.17055321,30.02675056,30.71912193,29.22182274,31.09938812
4/24/2018,5:09:40 PM,891,18.378,31.18240929,31.24167442,31.22982407,30.06266212,30.80241013,29.34231377,31.13497543
4/24/2018,5:09:41 PM,161,18.648,31.28906441,31.27721786,31.25352287,30.14641571,30.81430435,29.30617905,31.15869522
4/24/2018,5:09:41 PM,432,18.919,31.18240929,31.26537132,31.2179718,30.08659744,30.76672363,29.30617905,31.15869522
4/24/2018,5:09:41 PM,702,19.189,31.28906441,31.30090904,31.28906441,30.14641571,30.81430435,29.36639786,31.18240929
4/24/2018,5:09:42 PM,242,19.729,31.25352287,31.27721786,31.28906441,30.17033386,30.76672363,29.30617905,31.17055321
4/24/2018,5:09:42 PM,513,20,31.2179718,31.24167442,31.22982407,30.15837479,30.75482368,29.29413223,31.13497543
4/24/2018,5:09:42 PM,783,20.27,31.25352287,31.25352287,31.2179718,30.08659744,30.75482368,29.27003479,31.13497543
4/24/2018,5:09:43 PM,53,20.54,31.24167442,31.25352287,31.25352287,30.08659744,30.75482368,29.29413223,31.12311554
4/24/2018,5:09:43 PM,324,20.811,31.22982407,31.25352287,31.17055321,30.11052895,30.74292564,29.29413223,31.12311554
4/24/2018,5:09:43 PM,864,21.351,31.24167442,31.28906441,31.26537132,30.15837479,30.83808708,29.33027077,31.17055321
4/24/2018,5:09:44 PM,134,21.621,31.31275368,31.30090904,31.28906441,30.15837479,30.7905159,29.36639786,31.13497543
4/24/2018,5:09:44 PM,405,21.892,31.25352287,31.22982407,31.19426537,30.13445473,30.75482368,29.29413223,31.11125183
4/24/2018,5:09:44 PM,675,22.162,31.27721786,31.24167442,31.15869522,30.09856415,30.71912193,29.27003479,31.06379128
4/24/2018,5:09:44 PM,945,22.432,31.27721786,31.30090904,31.24167442,30.06266212,30.74292564,29.28208351,31.11125183
4/24/2018,5:09:45 PM,215,22.702,31.33643532,31.33643532,31.27721786,30.11052895,30.7905159,29.33027077,31.17055321
4/24/2018,5:09:45 PM,486,22.973,31.33643532,31.31275368,31.25352287,30.15837479,30.77861977,29.33027077,31.09938812
4/24/2018,5:09:45 PM,756,23.243,31.25352287,31.26537132,31.20611954,30.12249184,30.76672363,29.27003479,31.12311554
4/24/2018,5:09:46 PM,296,23.783,31.3245945,31.28906441,31.28906441,30.21815681,30.81430435,29.4025135,31.13497543
4/24/2018,5:09:46 PM,567,24.054,31.25352287,31.27721786,31.22982407,30.09856415,30.76672363,29.27003479,31.09938812
4/24/2018,5:09:46 PM,837,24.324,31.28906441,31.25352287,31.20611954,30.18229103,30.81430435,29.31822586,31.08752441
4/24/2018,5:09:47 PM,107,24.594,31.30090904,31.28906441,31.24167442,30.15837479,30.81430435,29.34231377,31.08752441
4/24/2018,5:09:47 PM,378,24.865,31.2179718,31.24167442,31.19426537,30.14641571,30.76672363,29.28208351,31.09938812
4/24/2018,5:09:47 PM,648,25.135,31.2179718,31.24167442,31.24167442,30.07463074,30.73102379,29.30617905,31.08752441
4/24/2018,5:09:48 PM,188,25.675,31.28906441,31.28906441,31.17055321,30.11052895,30.81430435,29.30617905,31.13497543
4/24/2018,5:09:48 PM,459,25.946,31.3245945,31.30090904,31.22982407,30.14641571,30.75482368,29.34231377,31.09938812
4/24/2018,5:09:48 PM,729,26.216,31.27721786,31.27721786,31.19426537,30.14641571,30.76672363,29.28208351,31.08752441
4/24/2018,5:09:48 PM,999,26.486,31.33643532,31.24167442,31.18240929,30.11052895,30.74292564,29.33027077,31.06379128
4/24/2018,5:09:49 PM,269,26.756,31.26537132,31.24167442,31.19426537,30.08659744,30.75482368,29.25798416,31.0756588
4/24/2018,5:09:49 PM,540,27.027,31.27721786,31.27721786,31.20611954,30.13445473,30.76672363,29.30617905,31.11125183
4/24/2018,5:09:49 PM,810,27.297,31.24167442,31.24167442,31.2179718,30.09856415,30.77861977,29.28208351,31.05192184
4/24/2018,5:09:50 PM,80,27.567,31.31275368,31.27721786,31.15869522,30.09856415,30.7905159,29.34231377,31.13497543
4/24/2018,5:09:50 PM,621,28.108,31.33643532,31.37195206,31.25352287,30.20620346,30.88563919,29.42658424,31.18240929
4/24/2018,5:09:50 PM,891,28.378,31.36011505,31.31275368,31.20611954,30.18229103,30.861866,29.37843704,31.19426537
4/24/2018,5:09:51 PM,161,28.648,31.38378906,31.34827614,31.26537132,30.17033386,30.84997749,29.42658424,31.17055321
4/24/2018,5:09:51 PM,432,28.919,31.36011505,31.36011505,31.2179718,30.09856415,30.84997749,29.39047623,31.15869522
4/24/2018,5:09:51 PM,702,29.189,31.33643532,31.31275368,31.26537132,30.14641571,30.83808708,29.39047623,31.15869522
4/24/2018,5:09:52 PM,242,29.729,31.34827614,31.25352287,31.20611954,30.15837479,30.84997749,29.35435677,31.0756588
4/24/2018,5:09:52 PM,513,30,31.33643532,31.25352287,31.15869522,30.08659744,30.80241013,29.35435677,31.11125183
4/24/2018,5:09:52 PM,783,30.27,31.28906441,31.2179718,31.13497543,30.07463074,30.74292564,29.28208351,31.04005241
4/24/2018,5:09:53 PM,53,30.54,31.30090904,31.27721786,31.17055321,30.09856415,30.7905159,29.34231377,31.09938812
4/24/2018,5:09:53 PM,324,30.811,31.31275368,31.27721786,31.15869522,30.11052895,30.83808708,29.35435677,31.15869522
