Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,31,282,283,162,32,121
Location Y,,,,115,69,114,115,66,116
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/24/2018,10:12:09 AM,486,13.243,37.52294922,29.08477974,29.01229286,30.14278603,34.85948563,29.07270241
4/24/2018,10:12:10 AM,27,13.784,37.59049606,29.06062317,29.01229286,30.13081741,34.83647156,29.07270241
4/24/2018,10:12:10 AM,297,14.054,37.60174942,29.07270241,29.02437782,30.10687447,34.82496262,29.06062317
4/24/2018,10:12:10 AM,567,14.324,37.53421021,29.04854202,29.0002079,30.11884689,34.79042816,29.03646088
4/24/2018,10:12:10 AM,837,14.594,37.55672836,29.1089325,29.02437782,30.13081741,34.87099457,29.09685707
4/24/2018,10:12:11 AM,108,14.865,37.57923889,29.18136024,29.03646088,30.17868614,34.94000626,29.13307953
4/24/2018,10:12:11 AM,378,15.135,37.61300278,29.14515114,29.03646088,30.16672134,34.90550613,29.07270241
4/24/2018,10:12:11 AM,918,15.675,37.48916245,29.06062317,28.96394348,30.09490204,34.82496262,29.04854202
4/24/2018,10:12:12 AM,189,15.946,37.52294922,29.06062317,28.92766953,30.05897522,34.88249969,29.04854202
4/24/2018,10:12:12 AM,459,16.216,37.53421021,29.03646088,28.91557503,30.09490204,34.85948563,29.02437782
4/24/2018,10:12:12 AM,729,16.486,37.53421021,29.01229286,28.9518528,30.07095146,34.8479805,29.01229286
4/24/2018,10:12:13 AM,270,17.027,37.56798553,29.06062317,28.93976212,30.14278603,34.91700745,29.08477974
4/24/2018,10:12:13 AM,540,17.297,37.53421021,29.02437782,28.91557503,30.11884689,34.87099457,29.06062317
4/24/2018,10:12:13 AM,810,17.567,37.48916245,29.07270241,28.93976212,30.0829277,34.77891541,29.07270241
4/24/2018,10:12:14 AM,81,17.838,37.48916245,29.04854202,28.92766953,30.09490204,34.80194092,29.03646088
4/24/2018,10:12:14 AM,351,18.108,37.44409943,29.0002079,28.89138222,30.07095146,34.79042816,28.98812103
4/24/2018,10:12:14 AM,621,18.378,37.44409943,29.01229286,28.84298134,29.99907494,34.80194092,28.97603416
4/24/2018,10:12:14 AM,891,18.648,37.50042343,29.07270241,28.84298134,30.02303886,34.82496262,29.01229286
4/24/2018,10:12:15 AM,162,18.919,37.53421021,28.9518528,28.86718369,29.99907494,34.79042816,28.97603416
4/24/2018,10:12:15 AM,702,19.459,37.51168823,28.96394348,28.86718369,29.96311951,34.75588608,28.9518528
4/24/2018,10:12:15 AM,972,19.729,37.55672836,29.0002079,28.87928391,30.03501892,34.75588608,29.0002079
4/24/2018,10:12:16 AM,243,20,37.44409943,28.92766953,28.83087921,30.05897522,34.68676758,28.93976212
4/24/2018,10:12:16 AM,513,20.27,37.47789764,28.96394348,28.80666924,30.03501892,34.73284912,28.96394348
4/24/2018,10:12:16 AM,783,20.54,37.48916245,28.9518528,28.80666924,29.98709106,34.70981216,28.93976212
4/24/2018,10:12:17 AM,54,20.811,37.47789764,28.9518528,28.80666924,29.97510529,34.72133255,28.92766953
4/24/2018,10:12:17 AM,324,21.081,37.48916245,28.9518528,28.81877518,29.98709106,34.70981216,28.90347862
4/24/2018,10:12:17 AM,594,21.351,37.43283081,28.93976212,28.79456139,29.97510529,34.67524338,28.90347862
4/24/2018,10:12:18 AM,135,21.892,37.51168823,29.01229286,28.86718369,30.05897522,34.79042816,28.97603416
4/24/2018,10:12:18 AM,405,22.162,37.57923889,29.07270241,28.96394348,30.09490204,34.83647156,29.02437782
4/24/2018,10:12:18 AM,675,22.432,37.56798553,29.12100792,28.97603416,30.09490204,34.82496262,29.08477974
4/24/2018,10:12:18 AM,945,22.702,37.50042343,29.01229286,28.89138222,30.04699707,34.80194092,28.97603416
4/24/2018,10:12:19 AM,216,22.973,37.51168823,29.01229286,28.89138222,30.05897522,34.77891541,28.93976212
4/24/2018,10:12:19 AM,486,23.243,37.51168823,29.0002079,28.85508347,30.03501892,34.79042816,28.91557503
4/24/2018,10:12:19 AM,756,23.513,37.50042343,28.96394348,28.80666924,30.0110569,34.72133255,28.90347862
4/24/2018,10:12:20 AM,297,24.054,37.51168823,29.09685707,28.86718369,30.0829277,34.81345367,28.97603416
4/24/2018,10:12:20 AM,567,24.324,37.46663284,28.98812103,28.84298134,30.04699707,34.74436951,28.91557503
4/24/2018,10:12:20 AM,837,24.594,37.45536423,29.01229286,28.85508347,30.05897522,34.77891541,28.93976212
4/24/2018,10:12:21 AM,108,24.865,37.53421021,29.01229286,28.92766953,30.07095146,34.75588608,28.97603416
