Plot 1 FLIR USB Video,,,,,,,,,,
,,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1,1
Reflected temperature,,,,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939,23.9999939
Location X,,,,293,296,295,20,22,19,78
Location Y,,,,60,111,169,56,114,167,117
Size X,,,,,,,,,,
Size Y,,,,,,,,,,
Surface (pixels),,,,,,,,,,
,,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value,Sp7.Value
4/24/2018,4:49:11 PM,972,13.243,34.80244064,34.12178421,34.2258606,32.02120972,32.66695786,32.29167557,33.41402054
4/24/2018,4:49:12 PM,242,13.513,34.8714447,34.21429825,34.24897385,32.11535645,32.76059341,32.32690811,33.49544907
4/24/2018,4:49:12 PM,513,13.784,34.83694839,34.19117737,34.16805267,32.09182739,32.74889374,32.26818085,33.44892502
4/24/2018,4:49:13 PM,53,14.324,34.83694839,34.17961502,34.2258606,32.15063858,32.79568863,32.39734268,33.50707626
4/24/2018,4:49:13 PM,324,14.595,34.83694839,34.15648651,34.21429825,32.08005905,32.71378326,32.2799263,33.41402054
4/24/2018,4:49:13 PM,594,14.865,34.76792145,34.15648651,34.19117737,31.9976635,32.67866516,32.24468231,33.42565536
4/24/2018,4:49:13 PM,864,15.135,34.81394196,34.15648651,34.21429825,32.08005905,32.72548676,32.29167557,33.48381805
4/24/2018,4:49:14 PM,134,15.405,34.84844589,34.24897385,34.28364182,32.08005905,32.79568863,32.39734268,33.56520081
4/24/2018,4:49:14 PM,405,15.676,34.8714447,34.15648651,34.21429825,32.06829071,32.67866516,32.26818085,33.48381805
4/24/2018,4:49:14 PM,675,15.946,34.91742706,34.21429825,34.28364182,32.09182739,32.73719025,32.30342102,33.51870346
4/24/2018,4:49:14 PM,945,16.216,34.84844589,34.17961502,34.17961502,32.05652237,32.71378326,32.25643158,33.49544907
4/24/2018,4:49:15 PM,215,16.486,34.77942657,34.12178421,34.12178421,32.02120972,32.65524673,32.24468231,33.47219086
4/24/2018,4:49:15 PM,756,17.027,34.83694839,34.15648651,34.17961502,32.04475403,32.70207977,32.24468231,33.47219086
4/24/2018,4:49:16 PM,26,17.297,34.90593338,34.16805267,34.20273972,32.15063858,32.73719025,32.30342102,33.48381805
4/24/2018,4:49:16 PM,297,17.568,34.79093552,34.12178421,34.17961502,32.03298187,32.63182449,32.24468231,33.43729019
4/24/2018,4:49:16 PM,567,17.838,34.91742706,34.2258606,34.20273972,32.15063858,32.72548676,32.32690811,33.55358124
4/24/2018,4:49:16 PM,837,18.108,34.94041443,34.29519272,34.24897385,32.18591309,32.84246445,32.38560486,33.54195404
4/24/2018,4:49:17 PM,378,18.649,34.97488022,34.30674362,34.30674362,32.20942307,32.86584854,32.4560051,33.56520081
4/24/2018,4:49:17 PM,648,18.919,34.92892075,34.2258606,34.28364182,32.15063858,32.76059341,32.31516266,33.49544907
4/24/2018,4:49:17 PM,918,19.189,34.8944397,34.20273972,34.21429825,32.11535645,32.73719025,32.30342102,33.46055603
4/24/2018,4:49:18 PM,188,19.459,34.90593338,34.24897385,34.28364182,32.13887787,32.77229309,32.36212921,33.53033066
4/24/2018,4:49:18 PM,459,19.73,34.8944397,34.2258606,34.24897385,32.16239929,32.76059341,32.35039139,33.50707626
4/24/2018,4:49:18 PM,999,20.27,34.94041443,34.2720871,34.24897385,32.18591309,32.77229309,32.35039139,33.55358124
4/24/2018,4:49:18 PM,999,20.27,34.94041443,34.2720871,34.24897385,32.18591309,32.77229309,32.35039139,33.55358124
4/24/2018,4:49:20 PM,80,21.351,35.04379272,34.39912033,34.30674362,32.17415619,32.90091324,32.35039139,33.54195404
4/24/2018,4:49:20 PM,621,21.892,34.96339417,34.37603378,34.26053238,32.15063858,32.81908035,32.31516266,33.53033066
4/24/2018,4:49:20 PM,891,22.162,35.00934219,34.42220306,34.29519272,32.18591309,32.93596649,32.36212921,33.56520081
4/24/2018,4:49:21 PM,161,22.432,35.03231049,34.42220306,34.36448669,32.17415619,32.88922501,32.40907669,33.58844376
4/24/2018,4:49:21 PM,432,22.703,34.96339417,34.32984543,34.29519272,32.15063858,32.91259766,32.32690811,33.51870346
4/24/2018,4:49:21 PM,702,22.973,35.02082443,34.43374252,34.31829453,32.17415619,32.94765091,32.37386703,33.56520081
4/24/2018,4:49:21 PM,972,23.243,35.07823181,34.43374252,34.36448669,32.23292923,32.92428207,32.4208107,33.60006332
4/24/2018,4:49:22 PM,242,23.513,35.10118484,34.53755188,34.43374252,32.30342102,33.0060463,32.4560051,33.6581459
4/24/2018,4:49:22 PM,783,24.054,35.08971024,34.46835709,34.39912033,32.30342102,32.97101212,32.38560486,33.6349144
4/24/2018,4:49:23 PM,53,24.324,35.10118484,34.45681763,34.46835709,32.19766998,32.95933151,32.38560486,33.62329865
4/24/2018,4:49:23 PM,324,24.595,35.08971024,34.50296021,34.43374252,32.19766998,32.94765091,32.36212921,33.60006332
4/24/2018,4:49:23 PM,594,24.865,35.13560867,34.51449203,34.42220306,32.29167557,32.9826889,32.4560051,33.64653015
4/24/2018,4:49:23 PM,864,25.135,35.05527115,34.43374252,34.35294342,32.18591309,32.87753677,32.36212921,33.60006332
4/24/2018,4:49:24 PM,134,25.405,34.99785614,34.37603378,34.34139252,32.12711716,32.87753677,32.31516266,33.54195404
4/24/2018,4:49:24 PM,675,25.946,35.03231049,34.39912033,34.34139252,32.11535645,32.87753677,32.30342102,33.55358124
4/24/2018,4:49:24 PM,945,26.216,35.03231049,34.44528198,34.4106636,32.15063858,32.88922501,32.39734268,33.57682419
4/24/2018,4:49:25 PM,215,26.486,35.05527115,34.38757706,34.36448669,32.19766998,32.84246445,32.35039139,33.55358124
4/24/2018,4:49:25 PM,486,26.757,35.13560867,34.46835709,34.4106636,32.17415619,32.92428207,32.39734268,33.58844376
4/24/2018,4:49:25 PM,756,27.027,35.19296265,34.53755188,34.49142456,32.23292923,32.99436951,32.43254471,33.6349144
4/24/2018,4:49:26 PM,26,27.297,35.18149185,34.5490799,34.43374252,32.25643158,32.97101212,32.40907669,33.6349144
4/24/2018,4:49:26 PM,297,27.568,35.14708328,34.58366013,34.43374252,32.24468231,33.01771927,32.40907669,33.61168289
4/24/2018,4:49:26 PM,837,28.108,35.08971024,34.50296021,34.38757706,32.15063858,32.90091324,32.29167557,33.53033066
4/24/2018,4:49:27 PM,107,28.378,35.12413788,34.57213593,34.43374252,32.18591309,32.94765091,32.33864975,33.60006332
4/24/2018,4:49:27 PM,378,28.649,35.18149185,34.57213593,34.45681763,32.23292923,32.91259766,32.30342102,33.56520081
4/24/2018,4:49:27 PM,648,28.919,35.19296265,34.57213593,34.50296021,32.29167557,32.95933151,32.36212921,33.60006332
4/24/2018,4:49:27 PM,918,29.189,35.23882294,34.66430664,34.5490799,32.30342102,33.07608032,32.4208107,33.70458984
4/24/2018,4:49:28 PM,188,29.459,35.26174927,34.66430664,34.57213593,32.2799263,32.99436951,32.39734268,33.6581459
4/24/2018,4:49:28 PM,729,30,35.21589279,34.61822891,34.53755188,32.31516266,33.04106903,32.43254471,33.69297791
4/24/2018,4:49:28 PM,999,30.27,35.22735977,34.60670853,34.53755188,32.32690811,33.06441116,32.4442749,33.70458984
4/24/2018,4:49:29 PM,269,30.54,35.23882294,34.56060791,34.45681763,32.30342102,32.97101212,32.37386703,33.62329865
4/24/2018,4:49:29 PM,540,30.811,35.23882294,34.66430664,34.50296021,32.33864975,33.07608032,32.47946167,33.70458984
4/24/2018,4:49:29 PM,810,31.081,35.26174927,34.61822891,34.52602005,32.2799263,33.02939606,32.4208107,33.68136978
4/24/2018,4:49:30 PM,80,31.351,35.18149185,34.56060791,34.52602005,32.24468231,33.02939606,32.38560486,33.6581459
4/24/2018,4:49:30 PM,621,31.892,35.21589279,34.62975311,34.57213593,32.31516266,33.01771927,32.43254471,33.69297791
4/24/2018,4:49:30 PM,891,32.162,35.18149185,34.62975311,34.51449203,32.31516266,33.06441116,32.4208107,33.68136978
4/24/2018,4:49:31 PM,161,32.432,35.22735977,34.65279007,34.46835709,32.29167557,33.02939606,32.40907669,33.68136978
4/24/2018,4:49:31 PM,432,32.703,35.21589279,34.61822891,34.46835709,32.29167557,32.99436951,32.43254471,33.64653015
4/24/2018,4:49:31 PM,702,32.973,35.21589279,34.59518433,34.49142456,32.26818085,32.9826889,32.4208107,33.61168289
4/24/2018,4:49:31 PM,972,33.243,35.26174927,34.6412735,34.52602005,32.30342102,33.01771927,32.46773529,33.66975784
4/24/2018,4:49:32 PM,513,33.784,35.22735977,34.61822891,34.45681763,32.29167557,33.0060463,32.4560051,33.6581459
4/24/2018,4:49:32 PM,783,34.054,35.19296265,34.61822891,34.46835709,32.33864975,33.01771927,32.4442749,33.64653015
4/24/2018,4:49:33 PM,53,34.324,35.23882294,34.59518433,34.47989273,32.35039139,33.04106903,32.43254471,33.62329865
4/24/2018,4:49:33 PM,324,34.595,35.23882294,34.62975311,34.45681763,32.29167557,32.95933151,32.4442749,33.6349144
4/24/2018,4:49:33 PM,594,34.865,35.17002487,34.52602005,34.4106636,32.26818085,32.93596649,32.35039139,33.60006332
4/24/2018,4:49:33 PM,864,35.135,35.12413788,34.49142456,34.37603378,32.18591309,32.91259766,32.32690811,33.60006332
4/24/2018,4:49:34 PM,134,35.405,35.10118484,34.49142456,34.37603378,32.19766998,32.94765091,32.32690811,33.55358124
4/24/2018,4:49:34 PM,405,35.676,35.17002487,34.56060791,34.39912033,32.17415619,32.93596649,32.35039139,33.58844376
4/24/2018,4:49:34 PM,945,36.216,35.22735977,34.56060791,34.39912033,32.20942307,32.88922501,32.36212921,33.61168289
4/24/2018,4:49:35 PM,215,36.486,35.19296265,34.58366013,34.42220306,32.25643158,32.94765091,32.40907669,33.6581459
4/24/2018,4:49:35 PM,486,36.757,35.34194946,34.67582703,34.50296021,32.30342102,33.0060463,32.4560051,33.6581459
4/24/2018,4:49:35 PM,756,37.027,35.34194946,34.67582703,34.45681763,32.33864975,32.99436951,32.43254471,33.66975784
4/24/2018,4:49:36 PM,26,37.297,35.30758286,34.67582703,34.50296021,32.37386703,33.06441116,32.46773529,33.70458984
4/24/2018,4:49:36 PM,297,37.568,35.27320862,34.6412735,34.50296021,32.26818085,33.01771927,32.4208107,33.70458984
4/24/2018,4:49:36 PM,837,38.108,35.27320862,34.65279007,34.47989273,32.24468231,32.9826889,32.40907669,33.6581459
4/24/2018,4:49:37 PM,107,38.378,35.28466797,34.62975311,34.44528198,32.25643158,32.93596649,32.39734268,33.60006332
4/24/2018,4:49:37 PM,378,38.649,35.2502861,34.6412735,34.43374252,32.2799263,32.94765091,32.43254471,33.6349144
4/24/2018,4:49:37 PM,648,38.919,35.26174927,34.67582703,34.44528198,32.31516266,33.0060463,32.4208107,33.60006332
4/24/2018,4:49:37 PM,918,39.189,35.21589279,34.56060791,34.39912033,32.26818085,32.91259766,32.36212921,33.57682419
4/24/2018,4:49:38 PM,188,39.459,35.22735977,34.61822891,34.42220306,32.18591309,32.93596649,32.39734268,33.60006332
4/24/2018,4:49:38 PM,729,40,35.11266327,34.56060791,34.36448669,32.16239929,32.90091324,32.37386703,33.57682419
4/24/2018,4:49:38 PM,999,40.27,35.22735977,34.65279007,34.42220306,32.24468231,32.97101212,32.37386703,33.6349144
4/24/2018,4:49:39 PM,269,40.54,35.19296265,34.57213593,34.4106636,32.19766998,32.94765091,32.40907669,33.60006332
4/24/2018,4:49:39 PM,540,40.811,35.23882294,34.59518433,34.38757706,32.22117615,32.94765091,32.40907669,33.60006332
4/24/2018,4:49:40 PM,80,41.351,35.23882294,34.71036911,34.43374252,32.25643158,33.04106903,32.4560051,33.70458984
4/24/2018,4:49:40 PM,351,41.622,35.28466797,34.69885635,34.49142456,32.29167557,33.04106903,32.43254471,33.69297791
4/24/2018,4:49:40 PM,621,41.892,35.26174927,34.65279007,34.4106636,32.25643158,33.02939606,32.4208107,33.62329865
4/24/2018,4:49:40 PM,891,42.162,35.28466797,34.72188187,34.51449203,32.30342102,33.01771927,32.46773529,33.6581459
4/24/2018,4:49:41 PM,161,42.432,35.41065216,34.77942657,34.61822891,32.40907669,33.06441116,32.5498085,33.71619797
4/24/2018,4:49:41 PM,432,42.703,35.30758286,34.6412735,34.46835709,32.2799263,32.95933151,32.39734268,33.6581459
4/24/2018,4:49:41 PM,702,42.973,35.21589279,34.56060791,34.36448669,32.26818085,32.95933151,32.35039139,33.57682419
4/24/2018,4:49:41 PM,972,43.243,35.33049393,34.65279007,34.45681763,32.35039139,33.01771927,32.4208107,33.68136978
