Plot 1 FLIR USB Video,,,,,,,,,
,,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,29,278,280,163,28,114
Location Y,,,,118,58,120,118,61,121
Size X,,,,,,,,,
Size Y,,,,,,,,,
Surface (pixels),,,,,,,,,
,,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value,Sp6.Value
4/23/2018,2:22:51 PM,810,13.243,38.02865982,32.5478096,33.21448135,27.49175453,34.68676758,25.93842506
4/23/2018,2:22:52 PM,80,13.513,38.07351303,32.61816025,33.2261467,27.46726227,34.70981216,25.93842506
4/23/2018,2:22:52 PM,351,13.784,38.05108643,32.55953598,33.21448135,27.47950745,34.68676758,25.92601204
4/23/2018,2:22:52 PM,891,14.324,38.03987122,32.57126617,33.12113571,27.45501328,34.55995178,25.88876534
4/23/2018,2:22:53 PM,162,14.595,38.00622559,32.37175369,33.02771759,27.38149834,34.52534103,25.78937912
4/23/2018,2:22:53 PM,432,14.865,38.02865982,32.53607941,33.07443619,27.40600777,34.62913895,25.78937912
4/23/2018,2:22:53 PM,702,15.135,38.03987122,32.45394516,33.15615082,27.36924171,34.55995178,25.78937912
4/23/2018,2:22:53 PM,972,15.405,38.0174408,32.44220734,33.13280869,27.40600777,34.55995178,25.78937912
4/23/2018,2:22:54 PM,243,15.676,38.16316986,32.57126617,33.2261467,27.45501328,34.68676758,25.91359711
4/23/2018,2:22:54 PM,783,16.216,38.06229782,32.58298874,33.19115067,27.39375305,34.65219498,25.87634659
4/23/2018,2:22:55 PM,53,16.486,38.03987122,32.55953598,33.20281601,27.45501328,34.59455109,25.88876534
4/23/2018,2:22:55 PM,324,16.757,38.06229782,32.55953598,33.2261467,27.44276428,34.62913895,25.87634659
4/23/2018,2:22:55 PM,594,17.027,38.11834717,32.53607941,33.26112747,27.44276428,34.6060791,25.87634659
4/23/2018,2:22:55 PM,864,17.297,38.09593201,32.60643768,33.26112747,27.41826248,34.68676758,25.88876534
4/23/2018,2:22:56 PM,135,17.568,38.18557358,32.60643768,33.30775452,27.45501328,34.83647156,25.88876534
4/23/2018,2:22:56 PM,675,18.108,38.12955475,32.70018387,33.27278519,27.47950745,34.80194092,25.90118217
4/23/2018,2:22:56 PM,945,18.378,38.17437363,32.53607941,33.30775452,27.5039978,34.75588608,25.93842506
4/23/2018,2:22:57 PM,216,18.649,38.20797348,32.65332031,33.37766266,27.5651989,34.75588608,26.00046921
4/23/2018,2:22:57 PM,486,18.919,38.06229782,32.58298874,33.29610062,27.49175453,34.73284912,25.91359711
4/23/2018,2:22:57 PM,756,19.189,38.10713959,32.5478096,33.31940842,27.46726227,34.73284912,25.92601204
