Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,3:03:14 PM,810,2398.919,42.69690704,37.70299149,38.6997757,33.93547058,38.90041351
4/20/2018,3:03:15 PM,80,2399.189,42.68609238,37.79291534,38.64398575,33.9238739,39.18966293
4/20/2018,3:03:15 PM,351,2399.46,42.75095749,37.86031723,38.63282394,33.91228104,39.44498825
4/20/2018,3:03:15 PM,621,2399.73,42.76176453,37.80414963,38.61050034,33.90068054,39.56691742
4/20/2018,3:03:15 PM,891,2400,42.76176453,37.87154388,38.68862152,33.94706345,39.54475784
4/20/2018,3:03:16 PM,161,2400.27,42.77257156,37.90522766,38.65514755,33.90068054,39.52259445
4/20/2018,3:03:16 PM,432,2400.541,42.80498505,37.96134949,38.67746353,33.91228104,39.61122513
4/20/2018,3:03:16 PM,972,2401.081,42.88058472,37.97256851,38.75554276,33.97024918,39.66659164
4/20/2018,3:03:17 PM,243,2401.352,42.83738708,37.93890381,38.72208405,33.97024918,39.64444733
4/20/2018,3:03:17 PM,513,2401.622,42.79417801,37.81538773,38.61050034,33.93547058,39.52259445
4/20/2018,3:03:17 PM,783,2401.892,42.9021759,37.88277435,38.61050034,33.9238739,39.52259445
4/20/2018,3:03:18 PM,53,2402.162,42.94534683,37.98378754,38.66630554,33.95865631,39.6776619
4/20/2018,3:03:18 PM,324,2402.433,42.98850632,38.0174408,38.71092987,34.01660156,39.71086502
4/20/2018,3:03:18 PM,594,2402.703,42.97771835,37.97256851,38.71092987,33.97024918,39.76618576
4/20/2018,3:03:18 PM,864,2402.973,42.9021759,37.96134949,38.65514755,33.97024918,39.73299789
4/20/2018,3:03:19 PM,134,2403.243,42.9021759,37.91645432,38.67746353,33.95865631,39.78830719
4/20/2018,3:03:19 PM,675,2403.784,42.99929428,37.92768097,38.71092987,33.97024918,39.799366
4/20/2018,3:03:19 PM,945,2404.054,42.98850632,37.92768097,38.6997757,33.98183823,39.76618576
4/20/2018,3:03:20 PM,216,2404.325,43.01008224,37.99500656,38.73323822,33.93547058,39.85464859
4/20/2018,3:03:20 PM,756,2404.865,43.01008224,37.96134949,38.7443924,33.98183823,39.8104248
4/20/2018,3:03:21 PM,26,2405.135,43.03165054,37.95012665,38.7443924,33.9238739,39.74406052
4/20/2018,3:03:21 PM,297,2405.406,42.99929428,37.93890381,38.73323822,33.86588287,39.85464859
4/20/2018,3:03:21 PM,567,2405.676,42.97771835,37.88277435,38.77783966,33.88908386,39.68872833
4/20/2018,3:03:21 PM,837,2405.946,42.98850632,37.89400101,38.80013657,33.87748337,39.69979858
4/20/2018,3:03:22 PM,378,2406.487,43.02086639,37.95012665,38.76669312,33.87748337,39.8104248
4/20/2018,3:03:22 PM,648,2406.757,43.10712051,37.97256851,38.85585785,33.94706345,39.8325386
4/20/2018,3:03:22 PM,918,2407.027,43.01008224,38.05108643,38.83357239,33.9238739,39.78830719
4/20/2018,3:03:23 PM,188,2407.297,43.06399918,38.05108643,38.85585785,33.9238739,39.85464859
4/20/2018,3:03:23 PM,188,2407.297,43.06399918,38.05108643,38.85585785,33.9238739,39.85464859
4/20/2018,3:03:28 PM,594,2412.703,43.04243469,37.98378754,38.84471512,33.79626083,39.86570358
4/20/2018,3:03:28 PM,864,2412.973,43.09634018,38.02865982,38.8781395,33.86588287,39.75512314
4/20/2018,3:03:29 PM,134,2413.243,43.11789703,37.97256851,38.85585785,33.85428238,39.88780594
4/20/2018,3:03:29 PM,405,2413.514,43.07478333,37.93890381,38.75554276,33.79626083,39.8435936
4/20/2018,3:03:29 PM,945,2414.054,43.12867355,38.00622559,38.86699677,33.84268188,39.8435936
4/20/2018,3:03:30 PM,216,2414.325,43.18254471,38.03987122,38.84471512,33.86588287,39.85464859
4/20/2018,3:03:30 PM,486,2414.595,43.13945007,38.0174408,38.83357239,33.84268188,39.98722839
4/20/2018,3:03:30 PM,756,2414.865,43.171772,38.06229782,38.85585785,33.84268188,39.92095566
4/20/2018,3:03:31 PM,26,2415.135,43.12867355,38.08472061,38.77783966,33.84268188,39.93200302
4/20/2018,3:03:31 PM,297,2415.406,43.171772,38.05108643,38.8781395,33.9238739,40.00931168
4/20/2018,3:03:31 PM,567,2415.676,43.15022659,38.07351303,38.77783966,33.85428238,40.06450272
4/20/2018,3:03:32 PM,107,2416.216,43.24716187,38.14076233,38.8781395,33.95865631,39.99827194
4/20/2018,3:03:32 PM,378,2416.487,43.23639297,38.03987122,38.84471512,33.90068054,40.04243088
4/20/2018,3:03:32 PM,648,2416.757,43.24716187,38.09593201,38.86699677,33.90068054,40.06450272
4/20/2018,3:03:32 PM,918,2417.027,43.29021835,38.11834717,38.8781395,33.87748337,40.00931168
4/20/2018,3:03:33 PM,459,2417.568,43.30098343,38.16316986,38.97835541,33.93547058,40.11967087
4/20/2018,3:03:33 PM,729,2417.838,43.26869202,38.18557358,38.96722412,33.9238739,40.15275955
4/20/2018,3:03:33 PM,999,2418.108,43.34402466,38.18557358,39.02286911,33.97024918,40.10863876
4/20/2018,3:03:34 PM,270,2418.379,43.38705063,38.18557358,39.00061417,33.97024918,40.0534668
4/20/2018,3:03:34 PM,540,2418.649,43.34402466,38.17437363,38.96722412,33.9238739,40.10863876
4/20/2018,3:03:34 PM,810,2418.919,43.3547821,38.16316986,39.02286911,33.88908386,40.09760666
4/20/2018,3:03:35 PM,351,2419.46,43.29021835,38.10713959,38.98948669,33.93547058,40.13069916
4/20/2018,3:03:35 PM,621,2419.73,43.38705063,38.18557358,38.96722412,34.00501633,40.16378784
4/20/2018,3:03:35 PM,891,2420,43.47306061,38.20797348,39.04512405,34.00501633,40.22993469
4/20/2018,3:03:36 PM,161,2420.27,43.49455643,38.2415657,39.04512405,33.99342728,40.2740097
4/20/2018,3:03:36 PM,432,2420.541,43.53753281,38.19677353,39.06737137,34.01660156,40.21891022
4/20/2018,3:03:36 PM,702,2420.811,43.44081497,38.18557358,39.08961487,34.00501633,40.2740097
4/20/2018,3:03:36 PM,972,2421.081,43.37629318,38.2415657,39.04512405,33.99342728,40.20788956
4/20/2018,3:03:37 PM,243,2421.352,43.39780426,38.20797348,39.04512405,34.00501633,40.22993469
4/20/2018,3:03:37 PM,783,2421.892,43.47306061,38.2415657,39.10073471,34.06293869,40.2740097
4/20/2018,3:03:38 PM,53,2422.162,43.43006134,38.25276184,39.10073471,33.99342728,40.30706024
4/20/2018,3:03:38 PM,324,2422.433,43.43006134,38.28634262,39.08961487,34.0281868,40.2519722
4/20/2018,3:03:38 PM,594,2422.703,43.41931152,38.26395798,39.16743851,34.06293869,40.26299286
4/20/2018,3:03:38 PM,864,2422.973,43.41931152,38.28634262,39.15632248,34.05135727,40.21891022
4/20/2018,3:03:39 PM,134,2423.243,43.47306061,38.2415657,39.11185455,34.00501633,40.19686508
4/20/2018,3:03:39 PM,405,2423.514,43.48381042,38.31991577,39.14520645,34.0281868,40.36212158
4/20/2018,3:03:39 PM,945,2424.054,43.53753281,38.39821625,39.21188736,34.05135727,40.39514923
4/20/2018,3:03:40 PM,216,2424.325,43.51604462,38.30872726,39.15632248,34.05135727,40.28503036
4/20/2018,3:03:40 PM,486,2424.595,43.58049774,38.29753494,39.18966293,34.06293869,40.28503036
4/20/2018,3:03:40 PM,756,2424.865,43.61270905,38.33110428,39.16743851,34.03977203,40.31807327
4/20/2018,3:03:41 PM,26,2425.135,43.59123611,38.29753494,39.14520645,34.0281868,40.40615463
4/20/2018,3:03:41 PM,567,2425.676,43.62344742,38.29753494,39.13409042,34.03977203,40.43917084
4/20/2018,3:03:41 PM,837,2425.946,43.66638184,38.39821625,39.21188736,34.09768295,40.5161705
4/20/2018,3:03:42 PM,107,2426.216,43.67711258,38.46529388,39.25632095,34.10926056,40.53816223
4/20/2018,3:03:42 PM,378,2426.487,43.67711258,38.46529388,39.27853012,34.10926056,40.6700325
4/20/2018,3:03:42 PM,918,2427.027,43.61270905,38.420578,39.20077515,34.0281868,40.4721756
4/20/2018,3:03:43 PM,188,2427.297,43.70930099,38.40939713,39.21188736,34.07452011,40.4721756
4/20/2018,3:03:43 PM,459,2427.568,43.70930099,38.35348129,39.22299576,34.07452011,40.48317719
4/20/2018,3:03:43 PM,729,2427.838,43.67711258,38.420578,39.2896347,34.09768295,40.54915619
4/20/2018,3:03:43 PM,999,2428.108,43.64491653,38.40939713,39.20077515,34.07452011,40.46117401
4/20/2018,3:03:44 PM,270,2428.379,43.68784332,38.53233337,39.30073929,34.09768295,40.54915619
4/20/2018,3:03:44 PM,540,2428.649,43.67711258,38.49881744,39.31184006,34.13241196,40.53816223
4/20/2018,3:03:44 PM,810,2428.919,43.66638184,38.47646713,39.30073929,34.09768295,40.53816223
4/20/2018,3:03:45 PM,351,2429.46,43.66638184,38.4876442,39.27853012,34.09768295,40.49417496
4/20/2018,3:03:45 PM,621,2429.73,43.75220871,38.46529388,39.31184006,34.12083817,40.58213425
4/20/2018,3:03:45 PM,891,2430,43.72003174,38.420578,39.3340416,34.12083817,40.5161705
4/20/2018,3:03:46 PM,161,2430.27,43.70930099,38.49881744,39.27853012,34.09768295,40.5711441
4/20/2018,3:03:46 PM,432,2430.541,43.76293182,38.43175888,39.32294083,34.1902771,40.54915619
4/20/2018,3:03:46 PM,702,2430.811,43.75220871,38.47646713,39.27853012,34.14398575,40.64806366
4/20/2018,3:03:47 PM,243,2431.352,43.76293182,38.43175888,39.2896347,34.13241196,40.49417496
4/20/2018,3:03:47 PM,513,2431.622,43.85941696,38.50999069,39.31184006,34.14398575,40.61510468
4/20/2018,3:03:47 PM,783,2431.892,43.81654358,38.54350281,39.34513855,34.15555954,40.5161705
4/20/2018,3:03:48 PM,53,2432.162,43.81654358,38.53233337,39.36733627,34.15555954,40.63707733
4/20/2018,3:03:48 PM,324,2432.433,43.82726288,38.54350281,39.36733627,34.13241196,40.60411453
4/20/2018,3:03:48 PM,864,2432.973,43.72003174,38.36466599,39.31184006,34.07452011,40.46117401
4/20/2018,3:03:49 PM,134,2433.243,43.7414856,38.46529388,39.2896347,34.08610153,40.4721756
4/20/2018,3:03:49 PM,405,2433.514,43.79510117,38.49881744,39.30073929,34.08610153,40.60411453
4/20/2018,3:03:49 PM,675,2433.784,43.77365875,38.54350281,39.3340416,34.03977203,40.5711441
4/20/2018,3:03:49 PM,945,2434.054,43.83798218,38.45411682,39.35623932,34.14398575,40.68101501
4/20/2018,3:03:50 PM,216,2434.325,43.87013245,38.63282394,39.34513855,34.10926056,40.65904999
4/20/2018,3:03:50 PM,486,2434.595,43.85941696,38.54350281,39.30073929,34.12083817,40.74689484
4/20/2018,3:03:51 PM,26,2435.135,43.83798218,38.47646713,39.32294083,34.10926056,40.64806366
4/20/2018,3:03:51 PM,297,2435.406,43.84869766,38.56583786,39.31184006,34.12083817,40.63707733
4/20/2018,3:03:51 PM,567,2435.676,43.87013245,38.56583786,39.34513855,34.09768295,40.65904999
4/20/2018,3:03:51 PM,837,2435.946,43.85941696,38.59933853,39.43389893,34.13241196,40.68101501
4/20/2018,3:03:52 PM,107,2436.216,43.8915596,38.59933853,39.42280579,34.16713333,40.72493744
4/20/2018,3:03:52 PM,378,2436.487,43.80582428,38.58817291,39.34513855,34.08610153,40.65904999
4/20/2018,3:03:52 PM,918,2437.027,43.90227127,38.57700729,39.41171265,34.14398575,40.72493744
4/20/2018,3:03:53 PM,188,2437.297,43.90227127,38.61050034,39.40061951,34.13241196,40.69199753
4/20/2018,3:03:53 PM,459,2437.568,43.76293182,38.55467224,39.27853012,34.08610153,40.56015015
4/20/2018,3:03:53 PM,729,2437.838,43.79510117,38.64398575,39.2896347,34.08610153,40.626091
4/20/2018,3:03:53 PM,999,2438.108,43.84869766,38.49881744,39.30073929,34.05135727,40.63707733
4/20/2018,3:03:54 PM,270,2438.379,43.84869766,38.58817291,39.26742554,34.03977203,40.60411453
4/20/2018,3:03:54 PM,540,2438.649,43.90227127,38.66630554,39.32294083,34.10926056,40.77981949
4/20/2018,3:03:55 PM,80,2439.189,43.84869766,38.59933853,39.27853012,34.06293869,40.63707733
4/20/2018,3:03:55 PM,351,2439.46,43.84869766,38.65514755,39.22299576,34.05135727,40.76884842
4/20/2018,3:03:55 PM,621,2439.73,43.88084412,38.62166214,39.35623932,34.05135727,40.70298004
4/20/2018,3:03:55 PM,891,2440,43.83798218,38.57700729,39.2896347,34.0281868,40.65904999
4/20/2018,3:03:56 PM,161,2440.27,43.85941696,38.56583786,39.24521255,34.01660156,40.6700325
4/20/2018,3:03:56 PM,432,2440.541,43.87013245,38.46529388,39.31184006,34.07452011,40.69199753
4/20/2018,3:03:56 PM,702,2440.811,43.85941696,38.57700729,39.32294083,34.06293869,40.61510468
4/20/2018,3:03:56 PM,972,2441.081,43.78438187,38.64398575,39.27853012,33.99342728,40.63707733
4/20/2018,3:03:57 PM,513,2441.622,43.81654358,38.47646713,39.2896347,34.03977203,40.58213425
4/20/2018,3:03:57 PM,783,2441.892,43.85941696,38.57700729,39.21188736,34.0281868,40.65904999
4/20/2018,3:03:58 PM,53,2442.162,43.81654358,38.58817291,39.18966293,34.00501633,40.68101501
4/20/2018,3:03:58 PM,324,2442.433,43.82726288,38.56583786,39.26742554,33.98183823,40.65904999
4/20/2018,3:03:58 PM,594,2442.703,43.8915596,38.58817291,39.26742554,34.01660156,40.76884842
4/20/2018,3:03:58 PM,864,2442.973,43.87013245,38.61050034,39.23410416,34.01660156,40.71395874
4/20/2018,3:03:59 PM,134,2443.243,43.83798218,38.56583786,39.32294083,34.00501633,40.68101501
4/20/2018,3:03:59 PM,675,2443.784,43.77365875,38.54350281,39.24521255,33.99342728,40.56015015
4/20/2018,3:03:59 PM,945,2444.054,43.82726288,38.4876442,39.25632095,33.95865631,40.63707733
4/20/2018,3:04:00 PM,216,2444.325,43.77365875,38.420578,39.18966293,33.90068054,40.52716827
4/20/2018,3:04:00 PM,486,2444.595,43.7414856,38.40939713,39.18966293,33.91228104,40.53816223
4/20/2018,3:04:00 PM,756,2444.865,43.80582428,38.55467224,39.18966293,33.91228104,40.50517273
4/20/2018,3:04:01 PM,26,2445.135,43.79510117,38.53233337,39.27853012,33.95865631,40.5711441
4/20/2018,3:04:01 PM,567,2445.676,43.83798218,38.52116013,39.24521255,33.94706345,40.61510468
4/20/2018,3:04:01 PM,837,2445.946,43.79510117,38.47646713,39.23410416,33.93547058,40.58213425
4/20/2018,3:04:02 PM,107,2446.216,43.77365875,38.46529388,39.21188736,33.95865631,40.56015015
4/20/2018,3:04:02 PM,378,2446.487,43.80582428,38.54350281,39.24521255,33.94706345,40.61510468
4/20/2018,3:04:02 PM,648,2446.757,43.85941696,38.52116013,39.27853012,33.98183823,40.64806366
4/20/2018,3:04:02 PM,918,2447.027,43.8915596,38.45411682,39.2896347,34.00501633,40.626091
4/20/2018,3:04:03 PM,188,2447.297,43.83798218,38.45411682,39.22299576,33.97024918,40.60411453
4/20/2018,3:04:03 PM,459,2447.568,43.87013245,38.49881744,39.32294083,33.99342728,40.68101501
4/20/2018,3:04:03 PM,999,2448.108,43.79510117,38.45411682,39.3340416,33.94706345,40.60411453
4/20/2018,3:04:04 PM,270,2448.379,43.80582428,38.44293976,39.26742554,33.95865631,40.49417496
4/20/2018,3:04:04 PM,540,2448.649,43.8915596,38.61050034,39.36733627,34.0281868,40.61510468
4/20/2018,3:04:04 PM,810,2448.919,43.8915596,38.55467224,39.36733627,34.01660156,40.54915619
4/20/2018,3:04:05 PM,80,2449.189,43.80582428,38.49881744,39.25632095,33.98183823,40.56015015
4/20/2018,3:04:05 PM,351,2449.46,43.83798218,38.55467224,39.26742554,33.99342728,40.65904999
4/20/2018,3:04:05 PM,621,2449.73,43.95582581,38.61050034,39.3340416,34.07452011,40.76884842
4/20/2018,3:04:05 PM,891,2450,43.93440628,38.72208405,39.42280579,34.07452011,40.79079437
4/20/2018,3:04:06 PM,432,2450.541,43.97724152,38.66630554,39.37843323,34.0281868,40.72493744
4/20/2018,3:04:06 PM,702,2450.811,43.99865341,38.61050034,39.38952637,34.06293869,40.75786972
4/20/2018,3:04:06 PM,972,2451.081,43.97724152,38.65514755,39.42280579,34.03977203,40.65904999
4/20/2018,3:04:07 PM,243,2451.352,43.99865341,38.71092987,39.37843323,34.05135727,40.72493744
4/20/2018,3:04:07 PM,783,2451.892,43.96653366,38.65514755,39.42280579,34.00501633,40.71395874
4/20/2018,3:04:08 PM,53,2452.162,43.96653366,38.61050034,39.35623932,34.00501633,40.76884842
4/20/2018,3:04:08 PM,324,2452.433,43.99865341,38.65514755,39.34513855,34.05135727,40.79079437
4/20/2018,3:04:08 PM,594,2452.703,44.00935745,38.62166214,39.34513855,34.0281868,40.77981949
4/20/2018,3:04:08 PM,864,2452.973,43.98794556,38.67746353,39.38952637,34.05135727,40.72493744
4/20/2018,3:04:09 PM,405,2453.514,43.96653366,38.63282394,39.43389893,34.07452011,40.77981949
4/20/2018,3:04:09 PM,675,2453.784,44.03076172,38.66630554,39.42280579,34.05135727,40.79079437
4/20/2018,3:04:09 PM,945,2454.054,44.06286621,38.65514755,39.48933792,34.07452011,40.74689484
4/20/2018,3:04:10 PM,216,2454.325,44.07356644,38.63282394,39.44498825,34.03977203,40.80176926
4/20/2018,3:04:10 PM,486,2454.595,44.03076172,38.62166214,39.41171265,34.08610153,40.76884842
4/20/2018,3:04:10 PM,756,2454.865,44.10565567,38.65514755,39.41171265,34.09768295,40.80176926
4/20/2018,3:04:11 PM,26,2455.135,44.05216599,38.67746353,39.50042343,34.13241196,40.80176926
4/20/2018,3:04:11 PM,297,2455.406,44.08426285,38.68862152,39.42280579,34.09768295,40.79079437
4/20/2018,3:04:11 PM,837,2455.946,44.20188522,38.71092987,39.52259445,34.20184326,40.98815918
4/20/2018,3:04:12 PM,107,2456.216,44.10565567,38.6997757,39.47825241,34.13241196,40.84564972
4/20/2018,3:04:12 PM,378,2456.487,44.13774109,38.63282394,39.48933792,34.12083817,40.88951492
4/20/2018,3:04:12 PM,648,2456.757,44.06286621,38.56583786,39.41171265,34.10926056,40.85661697
4/20/2018,3:04:12 PM,918,2457.027,44.03076172,38.61050034,39.34513855,34.06293869,40.79079437
4/20/2018,3:04:13 PM,459,2457.568,44.03076172,38.68862152,39.35623932,34.03977203,40.84564972
4/20/2018,3:04:13 PM,729,2457.838,44.09495926,38.62166214,39.45607758,34.09768295,40.87855148
4/20/2018,3:04:13 PM,999,2458.108,44.08426285,38.65514755,39.37843323,34.08610153,40.83467865
4/20/2018,3:04:14 PM,270,2458.379,44.10565567,38.65514755,39.43389893,34.13241196,40.88951492
