Plot 1 FLIR USB Video,,,,,,,,
,,,,,,,,
,,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
Emissivity,,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,,1,1,1,1,1
Reflected temperature,,,,19.9999939,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,,36,282,283,166,34
Location Y,,,,115,58,113,116,58
Size X,,,,,,,,
Size Y,,,,,,,,
Surface (pixels),,,,,,,,
,,,,,,,,
Date,Time,Milliseconds,Relative time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value,Sp5.Value
4/20/2018,1:03:51 PM,567,14.595,24.69033051,24.77814674,24.6024437,24.33837128,24.7154274
4/20/2018,1:03:51 PM,837,14.865,24.67777824,24.7530632,24.67777824,24.33837128,24.70287895
4/20/2018,1:03:52 PM,108,15.136,24.69033051,24.85336494,24.67777824,24.38871765,24.7530632
4/20/2018,1:03:52 PM,378,15.406,24.67777824,24.79068756,24.61500359,24.37613297,24.67777824
4/20/2018,1:03:52 PM,648,15.676,24.76560593,24.84083176,24.67777824,24.42646408,24.76560593
4/20/2018,1:03:52 PM,918,15.946,24.76560593,24.82829857,24.66522598,24.40130234,24.76560593
4/20/2018,1:03:53 PM,189,16.217,24.69033051,24.76560593,24.66522598,24.35095978,24.69033051
4/20/2018,1:03:53 PM,459,16.487,24.65267181,24.7154274,24.56475639,24.33837128,24.65267181
4/20/2018,1:03:53 PM,999,17.027,24.61500359,24.76560593,24.62756157,24.27540398,24.66522598
4/20/2018,1:03:54 PM,270,17.298,24.64011765,24.80322647,24.65267181,24.32578087,24.66522598
4/20/2018,1:03:54 PM,540,17.568,24.69033051,24.76560593,24.65267181,24.40130234,24.7154274
4/20/2018,1:03:54 PM,810,17.838,24.65267181,24.7530632,24.62756157,24.32578087,24.70287895
4/20/2018,1:03:55 PM,80,18.108,24.69033051,24.80322647,24.66522598,24.36354637,24.7530632
4/20/2018,1:03:55 PM,351,18.379,24.70287895,24.76560593,24.65267181,24.33837128,24.7154274
4/20/2018,1:03:55 PM,621,18.649,24.7154274,24.84083176,24.7154274,24.36354637,24.80322647
4/20/2018,1:03:56 PM,162,19.19,24.72797394,24.89095497,24.69033051,24.42646408,24.76560593
4/20/2018,1:03:56 PM,432,19.46,24.61500359,24.77814674,24.6024437,24.33837128,24.64011765
4/20/2018,1:03:56 PM,702,19.73,24.5898819,24.69033051,24.56475639,24.30059433,24.5773201
4/20/2018,1:03:56 PM,972,20,24.5898819,24.77814674,24.5773201,24.31318855,24.65267181
4/20/2018,1:03:57 PM,243,20.271,24.55219078,24.7154274,24.53962517,24.2502079,24.55219078
4/20/2018,1:03:57 PM,783,20.811,24.61500359,24.79068756,24.61500359,24.33837128,24.70287895
4/20/2018,1:03:58 PM,53,21.081,24.67777824,24.79068756,24.67777824,24.40130234,24.65267181
4/20/2018,1:03:58 PM,324,21.352,24.65267181,24.80322647,24.62756157,24.37613297,24.69033051
4/20/2018,1:03:58 PM,594,21.622,24.64011765,24.7154274,24.62756157,24.36354637,24.66522598
4/20/2018,1:03:58 PM,864,21.892,24.66522598,24.84083176,24.64011765,24.38871765,24.67777824
4/20/2018,1:03:59 PM,405,22.433,24.5773201,24.74052048,24.64011765,24.31318855,24.62756157
4/20/2018,1:03:59 PM,675,22.703,24.5773201,24.74052048,24.6024437,24.27540398,24.5898819
4/20/2018,1:03:59 PM,945,22.973,24.6024437,24.80322647,24.61500359,24.28800011,24.62756157
4/20/2018,1:04:00 PM,216,23.244,24.53962517,24.69033051,24.55219078,24.2502079,24.55219078
4/20/2018,1:04:00 PM,486,23.514,24.61500359,24.79068756,24.6024437,24.31318855,24.61500359
4/20/2018,1:04:00 PM,756,23.784,24.67777824,24.81576347,24.66522598,24.31318855,24.67777824
4/20/2018,1:04:01 PM,26,24.054,24.6024437,24.74052048,24.6024437,24.33837128,24.6024437
4/20/2018,1:04:01 PM,567,24.595,24.53962517,24.62756157,24.46419716,24.23760796,24.52705765
4/20/2018,1:04:01 PM,837,24.865,24.55219078,24.65267181,24.47677231,24.23760796,24.53962517
4/20/2018,1:04:02 PM,108,25.136,24.51448822,24.61500359,24.43904305,24.18719101,24.50191689
4/20/2018,1:04:02 PM,378,25.406,24.50191689,24.6024437,24.46419716,24.19979858,24.47677231
4/20/2018,1:04:02 PM,378,25.406,24.50191689,24.6024437,24.46419716,24.19979858,24.47677231
4/20/2018,1:04:02 PM,918,25.946,24.46419716,24.5773201,24.35095978,24.13675308,24.47677231
4/20/2018,1:04:03 PM,189,26.217,24.52705765,24.52705765,24.33837128,24.16197586,24.52705765
4/20/2018,1:04:03 PM,459,26.487,24.53962517,24.55219078,24.41388321,24.16197586,24.50191689
4/20/2018,1:04:03 PM,729,26.757,24.53962517,24.62756157,24.43904305,24.23760796,24.52705765
4/20/2018,1:04:03 PM,999,27.027,24.56475639,24.62756157,24.46419716,24.2502079,24.51448822
4/20/2018,1:04:04 PM,270,27.298,24.51448822,24.62756157,24.40130234,24.18719101,24.56475639
4/20/2018,1:04:04 PM,540,27.568,24.53962517,24.55219078,24.41388321,24.19979858,24.52705765
