Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,2:53:37 PM,14:53:37,41.15240097,42.51296997,41.66566086,36.00476456
4/18/2018,2:53:38 PM,14:53:38,41.09767532,42.48048401,41.62205887,36.00476456
4/18/2018,2:53:38 PM,14:53:38,41.08672714,42.40465164,41.61115265,35.99336624
4/18/2018,2:53:38 PM,14:53:38,41.13051224,42.46965408,41.66566086,36.07314301
4/18/2018,2:53:39 PM,14:53:39,41.15240097,42.51296997,41.63295746,36.10731888
4/18/2018,2:53:39 PM,14:53:39,41.15240097,42.59955978,41.61115265,36.07314301
4/18/2018,2:53:39 PM,14:53:39,41.1414566,42.57791901,41.63295746,36.0617485
4/18/2018,2:53:39 PM,14:53:39,41.17428207,42.57791901,41.65475845,36.0389595
4/18/2018,2:53:40 PM,14:53:40,41.18522263,42.57791901,41.68745422,36.09592819
4/18/2018,2:53:40 PM,14:53:40,41.17428207,42.55627441,41.69835281,36.13009644
4/18/2018,2:53:41 PM,14:53:41,41.31642914,42.61038208,41.78548813,36.15287018
4/18/2018,2:53:41 PM,14:53:41,41.25084305,42.61038208,41.7419281,36.10731888
4/18/2018,2:53:41 PM,14:53:41,41.21803665,42.56709671,41.73103333,36.07314301
4/18/2018,2:53:41 PM,14:53:41,41.23990631,42.59955978,41.7419281,36.08453369
4/18/2018,2:53:42 PM,14:53:42,41.20709991,42.56709671,41.72014236,36.07314301
4/18/2018,2:53:42 PM,14:53:42,41.23990631,42.59955978,41.76371002,36.13009644
