Plot 1 FLIR USB Video,,,,,,
,,,,,,
,,,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
Emissivity,,,0.9499999881,0.9499999881,0.9499999881,0.9499999881
Distance,,,1,1,1,1
Reflected temperature,,,19.9999939,19.9999939,19.9999939,19.9999939
Location X,,,32,287,288,157
Location Y,,,110,53,106,110
Size X,,,,,,
Size Y,,,,,,
Surface (pixels),,,,,,
,,,,,,
Date,Time,Time,Sp1.Value,Sp2.Value,Sp3.Value,Sp4.Value
4/18/2018,5:06:02 PM,17:06:02,42.59955978,37.39901733,37.83785248,34.34059143
4/18/2018,5:06:03 PM,17:06:03,42.5454483,37.3539238,37.80414963,34.32903671
4/18/2018,5:06:03 PM,17:06:03,42.46965408,37.27496719,37.74796295,34.30591965
4/18/2018,5:06:03 PM,17:06:03,42.42632294,37.26368332,37.65800476,34.30591965
4/18/2018,5:06:04 PM,17:06:04,42.43715668,37.28624725,37.74796295,34.34059143
4/18/2018,5:06:04 PM,17:06:04,42.3287735,37.19595718,37.6692543,34.32903671
4/18/2018,5:06:04 PM,17:06:04,42.38297653,37.12819672,37.62425613,34.24811172
4/18/2018,5:06:05 PM,17:06:05,42.25284958,37.09430313,37.59049606,34.24811172
4/18/2018,5:06:05 PM,17:06:05,42.23115158,37.0603981,37.52294922,34.23654556
4/18/2018,5:06:05 PM,17:06:05,42.16602707,37.0603981,37.53421021,34.2249794
4/18/2018,5:06:06 PM,17:06:06,42.15517044,37.07170105,37.50042343,34.24811172
4/18/2018,5:06:06 PM,17:06:06,42.12259293,37.03779221,37.50042343,34.32903671
4/18/2018,5:06:06 PM,17:06:06,42.01394653,36.99256516,37.42156219,34.29436111
4/18/2018,5:06:07 PM,17:06:07,42.03568268,37.00387192,37.48916245,34.32903671
4/18/2018,5:06:07 PM,17:06:07,41.94871521,36.86810303,37.43283081,34.28279877
4/18/2018,5:06:07 PM,17:06:07,41.92696381,36.92469406,37.41028976,34.27123642
4/18/2018,5:06:07 PM,17:06:07,41.89432907,36.83414078,37.29753113,34.24811172
4/18/2018,5:06:08 PM,17:06:08,41.82903671,36.83414078,37.26368332,34.24811172
4/18/2018,5:06:08 PM,17:06:08,41.7419281,36.78883743,37.29753113,34.24811172
4/18/2018,5:06:08 PM,17:06:08,41.73103333,36.7775116,37.28624725,34.28279877
4/18/2018,5:06:09 PM,17:06:09,41.75281906,36.74351883,37.26368332,34.30591965
4/18/2018,5:06:09 PM,17:06:09,41.69835281,36.80016327,37.24111176,34.31747818
4/18/2018,5:06:09 PM,17:06:09,41.68745422,36.7775116,37.27496719,34.36370087
4/18/2018,5:06:09 PM,17:06:09,41.68745422,36.81148911,37.29753113,34.39835739
4/18/2018,5:06:10 PM,17:06:10,41.62205887,36.76618195,37.25239563,34.30591965
4/18/2018,5:06:10 PM,17:06:10,41.68745422,36.86810303,37.29753113,34.37525177
4/18/2018,5:06:11 PM,17:06:11,41.60025024,36.76618195,37.20724869,34.34059143
4/18/2018,5:06:11 PM,17:06:11,41.65475845,36.8454628,37.28624725,34.43300247
4/18/2018,5:06:11 PM,17:06:11,41.5675354,36.75485229,37.20724869,34.38680649
4/18/2018,5:06:11 PM,17:06:11,41.54571915,36.76618195,37.18466568,34.39835739
4/18/2018,5:06:11 PM,17:06:11,41.54571915,36.76618195,37.18466568,34.39835739
4/18/2018,5:06:13 PM,17:06:13,41.29457092,36.67551041,36.94732285,34.1902771
4/18/2018,5:06:13 PM,17:06:13,41.23990631,36.67551041,36.95863342,34.24811172
4/18/2018,5:06:14 PM,17:06:14,41.26177597,36.64149475,36.90206146,34.20184326
4/18/2018,5:06:14 PM,17:06:14,41.18522263,36.50532913,36.83414078,34.14398575
4/18/2018,5:06:14 PM,17:06:14,41.20709991,36.57342911,36.82281494,34.14398575
4/18/2018,5:06:14 PM,17:06:14,41.1414566,36.5280304,36.7775116,34.14398575
4/18/2018,5:06:15 PM,17:06:15,41.16334152,36.50532913,36.89074326,34.23654556
4/18/2018,5:06:15 PM,17:06:15,41.08672714,36.45990372,36.78883743,34.16713333
4/18/2018,5:06:15 PM,17:06:15,41.03197861,36.44854736,36.75485229,34.1902771
4/18/2018,5:06:16 PM,17:06:16,41.0538826,36.45990372,36.74351883,34.16713333
4/18/2018,5:06:16 PM,17:06:16,41.02102661,36.42582703,36.70952225,34.16713333
4/18/2018,5:06:16 PM,17:06:16,41.03197861,36.42582703,36.74351883,34.1902771
4/18/2018,5:06:17 PM,17:06:17,40.98815918,36.41446686,36.7775116,34.23654556
4/18/2018,5:06:17 PM,17:06:17,40.94432831,36.33490753,36.67551041,34.16713333
4/18/2018,5:06:17 PM,17:06:17,40.98815918,36.31216812,36.70952225,34.23654556
4/18/2018,5:06:18 PM,17:06:18,40.9114418,36.34627914,36.70952225,34.23654556
4/18/2018,5:06:18 PM,17:06:18,40.88951492,36.32353973,36.66417313,34.23654556
4/18/2018,5:06:18 PM,17:06:18,40.87855148,36.34627914,36.66417313,34.2249794
4/18/2018,5:06:19 PM,17:06:19,40.8237114,36.26667404,36.66417313,34.21341324
4/18/2018,5:06:19 PM,17:06:19,40.81274033,36.27804947,36.59612274,34.23654556
4/18/2018,5:06:19 PM,17:06:19,40.74689484,36.26667404,36.58477783,34.23654556
4/18/2018,5:06:19 PM,17:06:19,40.76884842,36.31216812,36.56208038,34.27123642
4/18/2018,5:06:20 PM,17:06:20,40.75786972,36.26667404,36.5280304,34.25967407
4/18/2018,5:06:20 PM,17:06:20,40.69199753,36.15287018,36.48262024,34.21341324
4/18/2018,5:06:20 PM,17:06:20,40.6700325,36.14148331,36.42582703,34.20184326
4/18/2018,5:06:21 PM,17:06:21,40.58213425,36.13009644,36.40310287,34.1902771
4/18/2018,5:06:21 PM,17:06:21,40.56015015,36.09592819,36.36901093,34.15555954
4/18/2018,5:06:21 PM,17:06:21,40.56015015,36.14148331,36.43718719,34.2249794
4/18/2018,5:06:22 PM,17:06:22,40.56015015,36.15287018,36.45990372,34.24811172
4/18/2018,5:06:22 PM,17:06:22,40.50517273,36.0617485,36.40310287,34.2249794
4/18/2018,5:06:22 PM,17:06:22,40.42816544,36.09592819,36.33490753,34.14398575
4/18/2018,5:06:22 PM,17:06:22,40.3731308,36.09592819,36.33490753,34.17870712
4/18/2018,5:06:23 PM,17:06:23,40.45017242,36.07314301,36.35764313,34.25967407
4/18/2018,5:06:23 PM,17:06:23,40.21891022,35.90212631,36.15287018,34.08610153
4/18/2018,5:06:24 PM,17:06:24,40.19686508,35.87930679,36.11870575,34.05135727
4/18/2018,5:06:24 PM,17:06:24,40.14173126,35.84506607,36.050354,34.01660156
4/18/2018,5:06:24 PM,17:06:24,40.15275955,35.91353607,36.11870575,34.0281868
4/18/2018,5:06:24 PM,17:06:24,40.10863876,35.87930679,36.0617485,34.05135727
4/18/2018,5:06:25 PM,17:06:25,40.0534668,35.82223511,36.07314301,34.00501633
4/18/2018,5:06:25 PM,17:06:25,40.00931168,35.78798294,36.0389595,34.01660156
4/18/2018,5:06:25 PM,17:06:25,40.13069916,35.85647964,36.14148331,34.12083817
4/18/2018,5:06:26 PM,17:06:26,40.00931168,35.76514053,36.01616287,33.99342728
4/18/2018,5:06:26 PM,17:06:26,39.9651413,35.75371933,35.99336624,34.00501633
4/18/2018,5:06:26 PM,17:06:26,39.94305038,35.75371933,35.95915604,34.03977203
4/18/2018,5:06:27 PM,17:06:27,39.98722839,35.78798294,36.0389595,34.06293869
4/18/2018,5:06:27 PM,17:06:27,39.9651413,35.8336525,36.07314301,34.07452011
4/18/2018,5:06:27 PM,17:06:27,39.98722839,35.81081772,36.10731888,34.13241196
4/18/2018,5:06:28 PM,17:06:28,39.89885712,35.73086929,36.00476456,34.07452011
4/18/2018,5:06:28 PM,17:06:28,39.93200302,35.76514053,36.0617485,34.14398575
4/18/2018,5:06:28 PM,17:06:28,39.92095566,35.77656174,35.99336624,34.14398575
4/18/2018,5:06:29 PM,17:06:29,39.78830719,35.66230392,35.86789322,33.99342728
4/18/2018,5:06:29 PM,17:06:29,39.75512314,35.58225632,35.81081772,34.00501633
4/18/2018,5:06:29 PM,17:06:29,39.69979858,35.54793549,35.75371933,33.93547058
4/18/2018,5:06:29 PM,17:06:29,39.61122513,35.51360321,35.70801926,33.94706345
4/18/2018,5:06:30 PM,17:06:30,39.54475784,35.42200851,35.68516159,33.87748337
4/18/2018,5:06:30 PM,17:06:30,39.55583954,35.44491577,35.74229431,33.90068054
4/18/2018,5:06:31 PM,17:06:31,39.56691742,35.42200851,35.71944427,33.91228104
4/18/2018,5:06:31 PM,17:06:31,39.58907318,35.43346405,35.74229431,33.97024918
4/18/2018,5:06:31 PM,17:06:31,39.60015106,35.49071121,35.75371933,33.93547058
4/18/2018,5:06:31 PM,17:06:31,39.5779953,35.49071121,35.75371933,33.98183823
4/18/2018,5:06:32 PM,17:06:32,39.61122513,35.50215912,35.77656174,34.01660156
4/18/2018,5:06:32 PM,17:06:32,39.51150894,35.50215912,35.73086929,33.95865631
4/18/2018,5:06:32 PM,17:06:32,39.48933792,35.43346405,35.66230392,33.93547058
4/18/2018,5:06:33 PM,17:06:33,39.41171265,35.38764191,35.63943863,33.93547058
4/18/2018,5:06:33 PM,17:06:33,39.43389893,35.39910126,35.58225632,33.93547058
4/18/2018,5:06:34 PM,17:06:34,39.44498825,35.44491577,35.66230392,33.94706345
4/18/2018,5:06:34 PM,17:06:34,39.48933792,35.43346405,35.62800217,33.98183823
4/18/2018,5:06:34 PM,17:06:34,39.35623932,35.38764191,35.59369659,33.88908386
4/18/2018,5:06:34 PM,17:06:34,39.3340416,35.39910126,35.60513306,33.9238739
4/18/2018,5:06:35 PM,17:06:35,39.35623932,35.44491577,35.55937576,33.93547058
4/18/2018,5:06:35 PM,17:06:35,39.37843323,35.38764191,35.60513306,33.97024918
4/18/2018,5:06:35 PM,17:06:35,39.3340416,35.29595184,35.4678154,33.9238739
4/18/2018,5:06:36 PM,17:06:36,39.23410416,35.2615509,35.45636749,33.91228104
4/18/2018,5:06:36 PM,17:06:36,39.27853012,35.31888199,35.45636749,33.93547058
4/18/2018,5:06:36 PM,17:06:36,39.2896347,35.29595184,35.47926331,33.97024918
4/18/2018,5:06:37 PM,17:06:37,39.26742554,35.30741882,35.49071121,33.97024918
4/18/2018,5:06:37 PM,17:06:37,39.27853012,35.33034515,35.52505112,33.99342728
4/18/2018,5:06:37 PM,17:06:37,39.20077515,35.28448868,35.47926331,33.97024918
4/18/2018,5:06:38 PM,17:06:38,39.18966293,35.22714233,35.45636749,33.95865631
4/18/2018,5:06:38 PM,17:06:38,39.16743851,35.1812439,35.37618637,33.91228104
4/18/2018,5:06:38 PM,17:06:38,39.14520645,35.1812439,35.41055679,33.90068054
4/18/2018,5:06:38 PM,17:06:38,39.11185455,35.20419693,35.36472702,33.9238739
4/18/2018,5:06:39 PM,17:06:39,39.18966293,35.31888199,35.47926331,34.0281868
4/18/2018,5:06:39 PM,17:06:39,39.14520645,35.23861313,35.42200851,33.98183823
4/18/2018,5:06:39 PM,17:06:39,39.13409042,35.2730217,35.39910126,33.99342728
4/18/2018,5:06:40 PM,17:06:40,39.07849503,35.29595184,35.39910126,33.97024918
4/18/2018,5:06:40 PM,17:06:40,39.14520645,35.33034515,35.47926331,34.01660156
4/18/2018,5:06:40 PM,17:06:40,39.17855072,35.36472702,35.49071121,34.03977203
4/18/2018,5:06:41 PM,17:06:41,39.1229744,35.31888199,35.47926331,34.05135727
4/18/2018,5:06:41 PM,17:06:41,39.11185455,35.20419693,35.45636749,34.0281868
4/18/2018,5:06:41 PM,17:06:41,39.04512405,35.23861313,35.42200851,33.99342728
4/18/2018,5:06:42 PM,17:06:42,39.01174164,35.19272232,35.39910126,33.98183823
4/18/2018,5:06:42 PM,17:06:42,38.94495773,35.1353302,35.36472702,33.97024918
4/18/2018,5:06:42 PM,17:06:42,38.96722412,35.20419693,35.38764191,33.95865631
4/18/2018,5:06:42 PM,17:06:42,38.97835541,35.2615509,35.37618637,34.00501633
4/18/2018,5:06:43 PM,17:06:43,38.95609283,35.22714233,35.37618637,33.98183823
4/18/2018,5:06:43 PM,17:06:43,38.88927841,35.11236954,35.28448868,33.93547058
4/18/2018,5:06:44 PM,17:06:44,38.88927841,35.1353302,35.28448868,33.93547058
4/18/2018,5:06:44 PM,17:06:44,38.78899002,35.08940125,35.2730217,33.93547058
4/18/2018,5:06:44 PM,17:06:44,38.75554276,35.08940125,35.25008392,33.94706345
4/18/2018,5:06:44 PM,17:06:44,38.68862152,35.06642914,35.22714233,33.90068054
4/18/2018,5:06:45 PM,17:06:45,38.86699677,35.15829086,35.31888199,33.99342728
4/18/2018,5:06:45 PM,17:06:45,38.85585785,35.12385178,35.29595184,34.01660156
4/18/2018,5:06:45 PM,17:06:45,38.80013657,35.08940125,35.25008392,33.93547058
4/18/2018,5:06:46 PM,17:06:46,38.76669312,35.11236954,35.22714233,33.93547058
